node,node_type,hgt_influence_proxy
match_546,match,3.8264
match_748,match,3.8247
South Africa team_midfield_unit,player_or_entity,3.823
match_365,match,3.8214
match_506,match,3.8209
Tunisia team_defense_unit,player_or_entity,3.819
match_416,match,3.8121
match_737,match,3.8005
match_481,match,3.7972
match_27,match,3.795
match_149,match,3.7857
match_494,match,3.7845
match_212,match,3.7758
match_4,match,3.7659
match_362,match,3.7642
North Korea,player_or_entity,3.7527
match_488,match,3.7477
Cuba,player_or_entity,3.7411
match_38,match,3.7373
match_435,match,3.7334
match_214,match,3.7312
Austria team_midfield_unit,player_or_entity,3.725
match_691,match,3.718
match_733,match,3.7147
match_511,match,3.7142
match_901,match,3.7125
Argentina team_attack_unit,player_or_entity,3.708
Greece team_attack_unit,player_or_entity,3.706
match_513,match,3.6889
Iran team_midfield_unit,player_or_entity,3.688
Ecuador team_defense_unit,player_or_entity,3.686
Norway team_midfield_unit,player_or_entity,3.673
match_254,match,3.6685
Republic of Ireland team_defense_unit,player_or_entity,3.668
match_883,match,3.6487
Haiti,player_or_entity,3.6476
Portugal team_midfield_unit,player_or_entity,3.647
Chile team_midfield_unit,player_or_entity,3.636
match_202,match,3.6317
match_221,match,3.6273
Togo,player_or_entity,3.6212
match_189,match,3.6185
match_341,match,3.6108
match_246,match,3.6069
match_361,match,3.6069
match_332,match,3.5877
Romania team_midfield_unit,player_or_entity,3.584
Czechoslovakia team_defense_unit,player_or_entity,3.566
Egypt,player_or_entity,3.5591
match_592,match,3.5579
Ukraine,player_or_entity,3.5382
match_182,match,3.5382
match_234,match,3.536
match_204,match,3.5349
El Salvador,player_or_entity,3.5283
match_650,match,3.52
match_722,match,3.5167
match_491,match,3.5079
Russia team_defense_unit,player_or_entity,3.507
match_250,match,3.4997
Paraguay team_defense_unit,player_or_entity,3.485
match_247,match,3.4793
match_218,match,3.459
Czech Republic team_attack_unit,player_or_entity,3.455
match_65,match,3.448
match_43,match,3.4474
match_649,match,3.4447
match_215,match,3.4375
Sweden team_attack_unit,player_or_entity,3.434
Slovakia team_attack_unit,player_or_entity,3.431
German DR team_midfield_unit,player_or_entity,3.423
match_157,match,3.415
Iran team_defense_unit,player_or_entity,3.366
Mexico team_attack_unit,player_or_entity,3.356
DR Congo,player_or_entity,3.3341
Wales team_defense_unit,player_or_entity,3.322
Algeria team_defense_unit,player_or_entity,3.307
Norway team_attack_unit,player_or_entity,3.298
United States team_midfield_unit,player_or_entity,3.295
Bosnia and Herzegovina team_midfield_unit,player_or_entity,3.278
match_223,match,3.2659
Ecuador team_attack_unit,player_or_entity,3.259
Ghana team_midfield_unit,player_or_entity,3.258
South Africa team_defense_unit,player_or_entity,3.258
Spain team_defense_unit,player_or_entity,3.256
Peru team_attack_unit,player_or_entity,3.247
Slovenia team_defense_unit,player_or_entity,3.247
Jamaica team_defense_unit,player_or_entity,3.226
Saudi Arabia team_midfield_unit,player_or_entity,3.209
United Arab Emirates,player_or_entity,3.1988
Czechoslovakia team_attack_unit,player_or_entity,3.165
Canada team_midfield_unit,player_or_entity,3.156
Slovenia team_attack_unit,player_or_entity,3.153
team:New Zealand,team,3.1378
Iceland,player_or_entity,3.1108
Iraq,player_or_entity,3.0866
team:Slovenia,team,3.0839
Germany team_attack_unit,player_or_entity,3.08
Nigeria team_attack_unit,player_or_entity,3.065
Jamaica team_midfield_unit,player_or_entity,3.025
Netherlands team_attack_unit,player_or_entity,3.024
Yugoslavia team_defense_unit,player_or_entity,3.01
United States team_attack_unit,player_or_entity,3.01
match_13,match,3.0046
Honduras,player_or_entity,2.9981
South Africa team_attack_unit,player_or_entity,2.989
Bolivia,player_or_entity,2.9838
match_7,match,2.9788
Ukraine team_midfield_unit,player_or_entity,2.925
Egypt team_defense_unit,player_or_entity,2.866
team:Ukraine,team,2.8473
New Zealand team_defense_unit,player_or_entity,2.84
Togo team_defense_unit,player_or_entity,2.816
Ghana team_attack_unit,player_or_entity,2.798
Canada team_attack_unit,player_or_entity,2.794
England team_defense_unit,player_or_entity,2.794
Bosnia and Herzegovina team_attack_unit,player_or_entity,2.793
North Korea team_midfield_unit,player_or_entity,2.791
Poland team_midfield_unit,player_or_entity,2.79
China PR team_defense_unit,player_or_entity,2.742
Ivory Coast team_midfield_unit,player_or_entity,2.728
Costa Rica team_midfield_unit,player_or_entity,2.724
Hungary team_midfield_unit,player_or_entity,2.704
team:Bolivia,team,2.6801
Cameroon team_attack_unit,player_or_entity,2.639
France team_attack_unit,player_or_entity,2.626
Northern Ireland team_defense_unit,player_or_entity,2.622
Trinidad and Tobago,player_or_entity,2.6186
Iran team_attack_unit,player_or_entity,2.595
Honduras team_attack_unit,player_or_entity,2.59
North Korea team_attack_unit,player_or_entity,2.581
Czech Republic team_defense_unit,player_or_entity,2.567
Australia team_midfield_unit,player_or_entity,2.56
Israel,player_or_entity,2.5542
Italy team_midfield_unit,player_or_entity,2.535
Romania team_defense_unit,player_or_entity,2.51
Portugal team_attack_unit,player_or_entity,2.509
Bolivia team_midfield_unit,player_or_entity,2.492
Haiti team_midfield_unit,player_or_entity,2.491
Italy team_attack_unit,player_or_entity,2.46
team:Jamaica,team,2.4517
Morocco team_attack_unit,player_or_entity,2.426
Greece team_defense_unit,player_or_entity,2.423
Kuwait,player_or_entity,2.3826
Serbia team_midfield_unit,player_or_entity,2.366
DR Congo team_attack_unit,player_or_entity,2.345
German DR team_attack_unit,player_or_entity,2.342
DR Congo team_midfield_unit,player_or_entity,2.333
Qatar,player_or_entity,2.3293
South Korea team_attack_unit,player_or_entity,2.319
team:Iceland,team,2.3172
Panama team_midfield_unit,player_or_entity,2.311
Angola,player_or_entity,2.2963
United Arab Emirates team_defense_unit,player_or_entity,2.294
Algeria team_midfield_unit,player_or_entity,2.292
New Zealand team_midfield_unit,player_or_entity,2.287
El Salvador team_defense_unit,player_or_entity,2.283
Australia team_defense_unit,player_or_entity,2.276
Cuba team_attack_unit,player_or_entity,2.274
China PR team_midfield_unit,player_or_entity,2.26
Panama,player_or_entity,2.2528
Nigeria team_defense_unit,player_or_entity,2.25
Nigeria team_midfield_unit,player_or_entity,2.221
Morocco team_midfield_unit,player_or_entity,2.217
Bulgaria team_defense_unit,player_or_entity,2.2
United Arab Emirates team_attack_unit,player_or_entity,2.175
Iceland team_attack_unit,player_or_entity,2.154
Japan team_midfield_unit,player_or_entity,2.151
Egypt team_midfield_unit,player_or_entity,2.149
El Salvador team_attack_unit,player_or_entity,2.125
Tunisia team_midfield_unit,player_or_entity,2.119
Indonesia,player_or_entity,2.1175
China PR team_attack_unit,player_or_entity,2.102
Haiti team_attack_unit,player_or_entity,2.085
Switzerland team_midfield_unit,player_or_entity,2.078
team:Czech Republic,team,2.074
Iraq team_midfield_unit,player_or_entity,2.073
team:Slovakia,team,2.0672
Kuwait team_attack_unit,player_or_entity,2.065
Japan team_defense_unit,player_or_entity,2.06
team:Iraq,team,2.0474
Cuba team_midfield_unit,player_or_entity,2.035
Paraguay team_midfield_unit,player_or_entity,2.03
Ivory Coast team_defense_unit,player_or_entity,2.023
Angola team_midfield_unit,player_or_entity,2.015
New Zealand team_attack_unit,player_or_entity,2.011
Northern Ireland team_midfield_unit,player_or_entity,2.011
team:United Arab Emirates,team,2.0095
Iceland team_defense_unit,player_or_entity,1.993
team:DR Congo,team,1.9889
Slovakia team_midfield_unit,player_or_entity,1.95
Cameroon team_midfield_unit,player_or_entity,1.934
team:Haiti,team,1.9331
Colombia team_midfield_unit,player_or_entity,1.922
Israel team_attack_unit,player_or_entity,1.891
Austria team_defense_unit,player_or_entity,1.861
Australia team_attack_unit,player_or_entity,1.843
Yugoslavia team_attack_unit,player_or_entity,1.841
Ghana team_defense_unit,player_or_entity,1.836
Romania team_attack_unit,player_or_entity,1.813
Wales team_midfield_unit,player_or_entity,1.813
Cuba team_defense_unit,player_or_entity,1.811
Wales team_attack_unit,player_or_entity,1.809
team:Bosnia and Herzegovina,team,1.8075
Senegal team_midfield_unit,player_or_entity,1.758
Togo team_midfield_unit,player_or_entity,1.738
Saudi Arabia team_attack_unit,player_or_entity,1.736
Qatar team_defense_unit,player_or_entity,1.73
Iraq team_attack_unit,player_or_entity,1.727
Trinidad and Tobago team_midfield_unit,player_or_entity,1.693
team:China PR,team,1.678
Senegal team_defense_unit,player_or_entity,1.667
team:Qatar,team,1.6524
Ukraine team_attack_unit,player_or_entity,1.618
team:Kuwait,team,1.5772
Bolivia team_defense_unit,player_or_entity,1.567
Ivory Coast team_attack_unit,player_or_entity,1.549
team:Panama,team,1.5479
Colombia team_attack_unit,player_or_entity,1.546
Trinidad and Tobago team_attack_unit,player_or_entity,1.54
Canada team_defense_unit,player_or_entity,1.536
Slovenia team_midfield_unit,player_or_entity,1.51
team:Togo,team,1.502
Haiti team_defense_unit,player_or_entity,1.495
Brazil team_defense_unit,player_or_entity,1.494
team:Israel,team,1.4813
Togo team_attack_unit,player_or_entity,1.47
Jamaica team_attack_unit,player_or_entity,1.459
Honduras team_midfield_unit,player_or_entity,1.432
El Salvador team_midfield_unit,player_or_entity,1.425
team:Trinidad and Tobago,team,1.3774
team:Cuba,team,1.3092
Republic of Ireland team_attack_unit,player_or_entity,1.269
Bosnia and Herzegovina team_defense_unit,player_or_entity,1.267
Ukraine team_defense_unit,player_or_entity,1.253
Israel team_midfield_unit,player_or_entity,1.251
team:Angola,team,1.221
Iraq team_defense_unit,player_or_entity,1.216
Indonesia team_attack_unit,player_or_entity,1.207
Norway team_defense_unit,player_or_entity,1.192
Indonesia team_defense_unit,player_or_entity,1.185
Greece team_midfield_unit,player_or_entity,1.125
Slovakia team_defense_unit,player_or_entity,1.082
Qatar team_midfield_unit,player_or_entity,1.077
Czech Republic team_midfield_unit,player_or_entity,1.066
Trinidad and Tobago team_defense_unit,player_or_entity,0.997
Israel team_defense_unit,player_or_entity,0.978
Iceland team_midfield_unit,player_or_entity,0.926
Angola team_attack_unit,player_or_entity,0.919
Kuwait team_defense_unit,player_or_entity,0.905
Honduras team_defense_unit,player_or_entity,0.891
Indonesia team_midfield_unit,player_or_entity,0.889
DR Congo team_defense_unit,player_or_entity,0.863
Egypt team_attack_unit,player_or_entity,0.859
Panama team_defense_unit,player_or_entity,0.858
Bulgaria team_midfield_unit,player_or_entity,0.848
Qatar team_attack_unit,player_or_entity,0.809
North Korea team_defense_unit,player_or_entity,0.795
United Arab Emirates team_midfield_unit,player_or_entity,0.793
Bolivia team_attack_unit,player_or_entity,0.791
Kuwait team_midfield_unit,player_or_entity,0.734
Angola team_defense_unit,player_or_entity,0.703
team:Indonesia,team,0.5116
Panama team_attack_unit,player_or_entity,0.318
