team,sponsor,extreme_scenario,baseline_roi,scenario_roi,roi_ci_low,roi_ci_high,risk_interval_width,recommendation_reason
Ecuador,McDonald's,sentiment_crisis,3.6912,3.0268,2.6592,3.3944,0.7353,Negative social/news sentiment requires defensive spend.
Ecuador,McDonald's,sponsor_policy_change,3.6912,3.3221,3.0166,3.6276,0.611,Policy restriction reduces activation quality.
Ecuador,McDonald's,positive_viral_moment,3.6912,4.2818,3.9504,4.6132,0.6628,Positive viral attention can lift upside but increases volatility.
England,McDonald's,key_player_injury,3.6711,3.1571,2.8361,3.4782,0.6421,Player availability shock lowers expected activation.
England,McDonald's,sentiment_crisis,3.6711,3.0103,2.6427,3.3779,0.7353,Negative social/news sentiment requires defensive spend.
England,McDonald's,sponsor_policy_change,3.6711,3.304,2.9985,3.6095,0.611,Policy restriction reduces activation quality.
England,McDonald's,positive_viral_moment,3.6711,4.2585,3.9271,4.5899,0.6628,Positive viral attention can lift upside but increases volatility.
Greece,Budweiser,key_player_injury,3.6686,3.155,2.834,3.476,0.6421,Player availability shock lowers expected activation.
Greece,Budweiser,sentiment_crisis,3.6686,3.0083,2.6406,3.3759,0.7353,Negative social/news sentiment requires defensive spend.
Greece,Budweiser,sponsor_policy_change,3.6686,3.3017,2.9962,3.6072,0.611,Policy restriction reduces activation quality.
Greece,Budweiser,positive_viral_moment,3.6686,4.2556,3.9242,4.587,0.6628,Positive viral attention can lift upside but increases volatility.
Republic of Ireland,McDonald's,key_player_injury,3.6595,3.1471,2.8261,3.4682,0.6421,Player availability shock lowers expected activation.
Republic of Ireland,McDonald's,sentiment_crisis,3.6595,3.0008,2.6331,3.3684,0.7353,Negative social/news sentiment requires defensive spend.
Republic of Ireland,McDonald's,sponsor_policy_change,3.6595,3.2935,2.988,3.599,0.611,Policy restriction reduces activation quality.
Republic of Ireland,McDonald's,positive_viral_moment,3.6595,4.245,3.9136,4.5764,0.6628,Positive viral attention can lift upside but increases volatility.
Romania,Qatar Airways,key_player_injury,3.6525,3.1412,2.8201,3.4622,0.6421,Player availability shock lowers expected activation.
Romania,Qatar Airways,sentiment_crisis,3.6525,2.9951,2.6274,3.3627,0.7353,Negative social/news sentiment requires defensive spend.
Romania,Qatar Airways,sponsor_policy_change,3.6525,3.2873,2.9818,3.5928,0.611,Policy restriction reduces activation quality.
Romania,Qatar Airways,positive_viral_moment,3.6525,4.2369,3.9055,4.5683,0.6628,Positive viral attention can lift upside but increases volatility.
Bulgaria,Hisense,key_player_injury,3.629,3.1209,2.7999,3.4419,0.6421,Player availability shock lowers expected activation.
Bulgaria,Hisense,sentiment_crisis,3.629,2.9757,2.6081,3.3434,0.7353,Negative social/news sentiment requires defensive spend.
Bulgaria,Hisense,sponsor_policy_change,3.629,3.2661,2.9606,3.5716,0.611,Policy restriction reduces activation quality.
Bulgaria,Hisense,positive_viral_moment,3.629,4.2096,3.8782,4.541,0.6628,Positive viral attention can lift upside but increases volatility.
Colombia,Vivo,key_player_injury,3.6203,3.1135,2.7924,3.4345,0.6421,Player availability shock lowers expected activation.
Colombia,Vivo,sentiment_crisis,3.6203,2.9687,2.601,3.3363,0.7353,Negative social/news sentiment requires defensive spend.
Colombia,Vivo,sponsor_policy_change,3.6203,3.2583,2.9528,3.5638,0.611,Policy restriction reduces activation quality.
Colombia,Vivo,positive_viral_moment,3.6203,4.1996,3.8682,4.531,0.6628,Positive viral attention can lift upside but increases volatility.
Morocco,Mengniu,key_player_injury,3.6063,3.1014,2.7804,3.4225,0.6421,Player availability shock lowers expected activation.
Morocco,Mengniu,sentiment_crisis,3.6063,2.9572,2.5895,3.3248,0.7353,Negative social/news sentiment requires defensive spend.
Morocco,Mengniu,sponsor_policy_change,3.6063,3.2457,2.9402,3.5512,0.611,Policy restriction reduces activation quality.
Morocco,Mengniu,positive_viral_moment,3.6063,4.1833,3.8519,4.5147,0.6628,Positive viral attention can lift upside but increases volatility.
Norway,McDonald's,key_player_injury,3.5919,3.089,2.768,3.41,0.6421,Player availability shock lowers expected activation.
Norway,McDonald's,sentiment_crisis,3.5919,2.9453,2.5777,3.313,0.7353,Negative social/news sentiment requires defensive spend.
Norway,McDonald's,sponsor_policy_change,3.5919,3.2327,2.9272,3.5382,0.611,Policy restriction reduces activation quality.
Norway,McDonald's,positive_viral_moment,3.5919,4.1666,3.8352,4.498,0.6628,Positive viral attention can lift upside but increases volatility.
South Korea,McDonald's,key_player_injury,3.5916,3.0888,2.7677,3.4098,0.6421,Player availability shock lowers expected activation.
South Korea,McDonald's,sentiment_crisis,3.5916,2.9451,2.5775,3.3127,0.7353,Negative social/news sentiment requires defensive spend.
South Korea,McDonald's,sponsor_policy_change,3.5916,3.2324,2.9269,3.5379,0.611,Policy restriction reduces activation quality.
South Korea,McDonald's,positive_viral_moment,3.5916,4.1662,3.8348,4.4976,0.6628,Positive viral attention can lift upside but increases volatility.
China,Mengniu,key_player_injury,3.547,3.0504,2.7294,3.3715,0.6421,Player availability shock lowers expected activation.
China,Mengniu,sentiment_crisis,3.547,2.9085,2.5409,3.2762,0.7353,Negative social/news sentiment requires defensive spend.
China,Mengniu,sponsor_policy_change,3.547,3.1923,2.8868,3.4978,0.611,Policy restriction reduces activation quality.
China,Mengniu,positive_viral_moment,3.547,4.1145,3.7831,4.4459,0.6628,Positive viral attention can lift upside but increases volatility.
Angola,Vivo,key_player_injury,3.538,3.0427,2.7216,3.3637,0.6421,Player availability shock lowers expected activation.
Angola,Vivo,sentiment_crisis,3.538,2.9012,2.5335,3.2688,0.7353,Negative social/news sentiment requires defensive spend.
Angola,Vivo,sponsor_policy_change,3.538,3.1842,2.8787,3.4897,0.611,Policy restriction reduces activation quality.
Angola,Vivo,positive_viral_moment,3.538,4.1041,3.7727,4.4355,0.6628,Positive viral attention can lift upside but increases volatility.
Czech Republic,Coca-Cola,key_player_injury,3.5357,3.0407,2.7196,3.3617,0.6421,Player availability shock lowers expected activation.
Czech Republic,Coca-Cola,sentiment_crisis,3.5357,2.8992,2.5316,3.2669,0.7353,Negative social/news sentiment requires defensive spend.
Czech Republic,Coca-Cola,sponsor_policy_change,3.5357,3.1821,2.8766,3.4876,0.611,Policy restriction reduces activation quality.
Czech Republic,Coca-Cola,positive_viral_moment,3.5357,4.1014,3.77,4.4328,0.6628,Positive viral attention can lift upside but increases volatility.
Portugal,Mengniu,key_player_injury,3.5273,3.0335,2.7125,3.3546,0.6421,Player availability shock lowers expected activation.
Portugal,Mengniu,sentiment_crisis,3.5273,2.8924,2.5248,3.2601,0.7353,Negative social/news sentiment requires defensive spend.
Portugal,Mengniu,sponsor_policy_change,3.5273,3.1746,2.8691,3.4801,0.611,Policy restriction reduces activation quality.
Portugal,Mengniu,positive_viral_moment,3.5273,4.0917,3.7603,4.4231,0.6628,Positive viral attention can lift upside but increases volatility.
United States,Vivo,key_player_injury,3.5243,3.0309,2.7098,3.3519,0.6421,Player availability shock lowers expected activation.
United States,Vivo,sentiment_crisis,3.5243,2.8899,2.5223,3.2575,0.7353,Negative social/news sentiment requires defensive spend.
United States,Vivo,sponsor_policy_change,3.5243,3.1718,2.8663,3.4773,0.611,Policy restriction reduces activation quality.
United States,Vivo,positive_viral_moment,3.5243,4.0882,3.7568,4.4195,0.6628,Positive viral attention can lift upside but increases volatility.
Slovenia,Vivo,key_player_injury,3.4997,3.0097,2.6887,3.3308,0.6421,Player availability shock lowers expected activation.
Slovenia,Vivo,sentiment_crisis,3.4997,2.8697,2.5021,3.2374,0.7353,Negative social/news sentiment requires defensive spend.
Slovenia,Vivo,sponsor_policy_change,3.4997,3.1497,2.8442,3.4552,0.611,Policy restriction reduces activation quality.
Slovenia,Vivo,positive_viral_moment,3.4997,4.0596,3.7282,4.391,0.6628,Positive viral attention can lift upside but increases volatility.
Austria,McDonald's,key_player_injury,3.4733,2.9871,2.666,3.3081,0.6421,Player availability shock lowers expected activation.
Austria,McDonald's,sentiment_crisis,3.4733,2.8481,2.4805,3.2158,0.7353,Negative social/news sentiment requires defensive spend.
Austria,McDonald's,sponsor_policy_change,3.4733,3.126,2.8205,3.4315,0.611,Policy restriction reduces activation quality.
Austria,McDonald's,positive_viral_moment,3.4733,4.0291,3.6977,4.3605,0.6628,Positive viral attention can lift upside but increases volatility.
Ghana,Mengniu,key_player_injury,3.4672,2.9818,2.6608,3.3028,0.6421,Player availability shock lowers expected activation.
Ghana,Mengniu,sentiment_crisis,3.4672,2.8431,2.4755,3.2107,0.7353,Negative social/news sentiment requires defensive spend.
Ghana,Mengniu,sponsor_policy_change,3.4672,3.1205,2.815,3.426,0.611,Policy restriction reduces activation quality.
Ghana,Mengniu,positive_viral_moment,3.4672,4.022,3.6906,4.3533,0.6628,Positive viral attention can lift upside but increases volatility.
DR Congo,Visa,key_player_injury,3.456,2.9722,2.6511,3.2932,0.6421,Player availability shock lowers expected activation.
DR Congo,Visa,sentiment_crisis,3.456,2.8339,2.4663,3.2016,0.7353,Negative social/news sentiment requires defensive spend.
DR Congo,Visa,sponsor_policy_change,3.456,3.1104,2.8049,3.4159,0.611,Policy restriction reduces activation quality.
DR Congo,Visa,positive_viral_moment,3.456,4.009,3.6776,4.3404,0.6628,Positive viral attention can lift upside but increases volatility.
Trinidad and Tobago,Mengniu,key_player_injury,3.4303,2.9501,2.629,3.2711,0.6421,Player availability shock lowers expected activation.
Trinidad and Tobago,Mengniu,sentiment_crisis,3.4303,2.8129,2.4452,3.1805,0.7353,Negative social/news sentiment requires defensive spend.
Trinidad and Tobago,Mengniu,sponsor_policy_change,3.4303,3.0873,2.7818,3.3928,0.611,Policy restriction reduces activation quality.
Trinidad and Tobago,Mengniu,positive_viral_moment,3.4303,3.9792,3.6478,4.3106,0.6628,Positive viral attention can lift upside but increases volatility.
Bolivia,Qatar Airways,key_player_injury,3.385,2.9111,2.5901,3.2321,0.6421,Player availability shock lowers expected activation.
Bolivia,Qatar Airways,sentiment_crisis,3.385,2.7757,2.4081,3.1433,0.7353,Negative social/news sentiment requires defensive spend.
Bolivia,Qatar Airways,sponsor_policy_change,3.385,3.0465,2.741,3.352,0.611,Policy restriction reduces activation quality.
Bolivia,Qatar Airways,positive_viral_moment,3.385,3.9266,3.5952,4.258,0.6628,Positive viral attention can lift upside but increases volatility.
Slovakia,Mengniu,key_player_injury,3.3705,2.8986,2.5776,3.2197,0.6421,Player availability shock lowers expected activation.
Slovakia,Mengniu,sentiment_crisis,3.3705,2.7638,2.3962,3.1314,0.7353,Negative social/news sentiment requires defensive spend.
Slovakia,Mengniu,sponsor_policy_change,3.3705,3.0334,2.7279,3.339,0.611,Policy restriction reduces activation quality.
Slovakia,Mengniu,positive_viral_moment,3.3705,3.9098,3.5784,4.2412,0.6628,Positive viral attention can lift upside but increases volatility.
Israel,Budweiser,key_player_injury,3.1777,2.7328,2.4118,3.0538,0.6421,Player availability shock lowers expected activation.
Israel,Budweiser,sentiment_crisis,3.1777,2.6057,2.238,2.9733,0.7353,Negative social/news sentiment requires defensive spend.
Israel,Budweiser,sponsor_policy_change,3.1777,2.8599,2.5544,3.1654,0.611,Policy restriction reduces activation quality.
Israel,Budweiser,positive_viral_moment,3.1777,3.6861,3.3547,4.0175,0.6628,Positive viral attention can lift upside but increases volatility.
Togo,Vivo,key_player_injury,3.0867,2.6545,2.3335,2.9756,0.6421,Player availability shock lowers expected activation.
Togo,Vivo,sentiment_crisis,3.0867,2.5311,2.1634,2.8987,0.7353,Negative social/news sentiment requires defensive spend.
Togo,Vivo,sponsor_policy_change,3.0867,2.778,2.4725,3.0835,0.611,Policy restriction reduces activation quality.
Togo,Vivo,positive_viral_moment,3.0867,3.5805,3.2491,3.9119,0.6628,Positive viral attention can lift upside but increases volatility.
Cuba,Vivo,key_player_injury,3.0507,2.6236,2.3025,2.9446,0.6421,Player availability shock lowers expected activation.
Cuba,Vivo,sentiment_crisis,3.0507,2.5015,2.1339,2.8692,0.7353,Negative social/news sentiment requires defensive spend.
Cuba,Vivo,sponsor_policy_change,3.0507,2.7456,2.4401,3.0511,0.611,Policy restriction reduces activation quality.
Cuba,Vivo,positive_viral_moment,3.0507,3.5388,3.2074,3.8702,0.6628,Positive viral attention can lift upside but increases volatility.
Qatar,McDonald's,key_player_injury,3.045,2.6187,2.2977,2.9397,0.6421,Player availability shock lowers expected activation.
Qatar,McDonald's,sentiment_crisis,3.045,2.4969,2.1293,2.8645,0.7353,Negative social/news sentiment requires defensive spend.
Qatar,McDonald's,sponsor_policy_change,3.045,2.7405,2.435,3.046,0.611,Policy restriction reduces activation quality.
Qatar,McDonald's,positive_viral_moment,3.045,3.5322,3.2008,3.8636,0.6628,Positive viral attention can lift upside but increases volatility.
