node,node_type,gcn_score,graphsage_score,combined_graph_score,embedding_degree,embedding_pagerank,embedding_betweenness,embedding_closeness
match_590,match,0.466748,0.260522,0.353324,0.235297,0.23735,0.015093,0.834127
sponsor:McDonald's,sponsor,0.250609,0.436888,0.353062,0.443457,0.458675,0.098117,0.887696
match_524,match,0.466337,0.260329,0.353033,0.228048,0.232374,0.041489,0.837239
team:DR Congo,team,0.46766,0.25866,0.35271,0.230685,0.234231,0.017996,0.840806
match_807,match,0.465911,0.259861,0.352583,0.234635,0.236694,0.014027,0.834098
match_5,match,0.463269,0.261451,0.352269,0.231138,0.234007,0.042224,0.828498
match_896,match,0.464495,0.259631,0.35182,0.234473,0.23646,0.01356,0.833949
match_124,match,0.463645,0.259984,0.351631,0.232431,0.235414,0.027168,0.828031
match_223,match,0.463575,0.259949,0.351581,0.22996,0.233134,0.038239,0.827719
team:United Arab Emirates,team,0.466067,0.257623,0.351423,0.230059,0.232672,0.019077,0.835952
team:Poland,team,0.441897,0.277149,0.351285,0.22653,0.22724,0.125211,0.892844
match_864,match,0.464284,0.258563,0.351137,0.226749,0.231043,0.036551,0.837183
match_458,match,0.462601,0.259787,0.351053,0.23057,0.233467,0.034386,0.828523
match_144,match,0.462252,0.259161,0.350552,0.231778,0.234681,0.025094,0.828174
match_60,match,0.46216,0.259167,0.350514,0.231066,0.234019,0.028261,0.828293
match_437,match,0.462239,0.258826,0.350362,0.231163,0.234029,0.025683,0.828538
match_42,match,0.460233,0.259719,0.34995,0.224445,0.229984,0.059281,0.825936
team:Hungary,team,0.442042,0.274397,0.349838,0.222719,0.22533,0.122558,0.892448
match_564,match,0.461508,0.257939,0.349545,0.231854,0.234876,0.017116,0.827818
match_31,match,0.457848,0.260778,0.349459,0.227061,0.230006,0.057031,0.828031
match_170,match,0.460053,0.258824,0.349377,0.228843,0.231409,0.039417,0.824552
match_841,match,0.460657,0.258204,0.349308,0.230589,0.233488,0.024757,0.827956
match_692,match,0.461313,0.25736,0.349138,0.232143,0.235252,0.012397,0.827199
team:Iceland,team,0.462356,0.256364,0.34906,0.227711,0.230158,0.016931,0.844634
match_500,match,0.460421,0.257935,0.349054,0.232486,0.23369,0.018491,0.826
match_539,match,0.460583,0.257754,0.349027,0.232226,0.233597,0.01841,0.825776
match_33,match,0.458116,0.259041,0.348625,0.223042,0.228523,0.061529,0.826106
match_567,match,0.459577,0.257777,0.348587,0.229772,0.232642,0.025871,0.828031
match_415,match,0.459893,0.257361,0.348501,0.230691,0.233583,0.018902,0.828157
match_110,match,0.45969,0.257152,0.348294,0.230016,0.232909,0.020699,0.828186
match_2,match,0.459288,0.257476,0.348291,0.229154,0.232022,0.026702,0.828263
team:German DR,team,0.459997,0.25651,0.348079,0.22688,0.229382,0.022063,0.843882
match_125,match,0.459111,0.256763,0.34782,0.231938,0.233057,0.013895,0.825926
match_477,match,0.459581,0.256262,0.347755,0.231651,0.233013,0.011769,0.825754
match_883,match,0.458431,0.25607,0.347132,0.230045,0.233242,0.014118,0.826821
team:Czech Republic,team,0.460352,0.254395,0.347076,0.228731,0.229399,0.013483,0.827895
match_86,match,0.458198,0.255851,0.346907,0.228353,0.231209,0.020278,0.828251
match_279,match,0.45802,0.255936,0.346874,0.227609,0.230385,0.024248,0.828483
match_306,match,0.455955,0.2576,0.34686,0.224788,0.227928,0.046739,0.828992
match_106,match,0.457928,0.255899,0.346812,0.228611,0.231479,0.019522,0.828005
match_319,match,0.457317,0.256341,0.34678,0.228755,0.232093,0.020603,0.828307
match_175,match,0.457889,0.255752,0.346714,0.228193,0.231044,0.020414,0.828247
match_316,match,0.457157,0.25635,0.346713,0.230193,0.23136,0.019111,0.826222
match_361,match,0.456127,0.256835,0.346517,0.224269,0.227515,0.044136,0.829059
match_908,match,0.457354,0.255787,0.346492,0.2285,0.231358,0.019404,0.827916
match_22,match,0.455755,0.257032,0.346457,0.225737,0.228048,0.042954,0.82467
match_147,match,0.456065,0.256694,0.346411,0.226145,0.229287,0.034914,0.828804
match_376,match,0.456546,0.256208,0.34636,0.226945,0.229514,0.031952,0.824374
match_313,match,0.456997,0.255547,0.346199,0.23011,0.231501,0.014482,0.82559
match_29,match,0.456254,0.256071,0.346154,0.229271,0.23021,0.021846,0.826522
match_270,match,0.456331,0.255918,0.346104,0.228763,0.229883,0.023047,0.826317
match_30,match,0.457153,0.255095,0.346021,0.226546,0.229478,0.023911,0.828042
match_587,match,0.456319,0.255557,0.3459,0.229002,0.232004,0.015919,0.827083
match_337,match,0.455872,0.25578,0.345821,0.221937,0.226763,0.046123,0.828152
match_503,match,0.456704,0.255058,0.345799,0.227039,0.229911,0.02124,0.828469
match_373,match,0.456074,0.255482,0.345748,0.227174,0.230009,0.02355,0.828115
team:Switzerland,team,0.431683,0.274918,0.345462,0.219738,0.222488,0.139167,0.892752
match_457,match,0.455018,0.255819,0.345458,0.220695,0.22613,0.052471,0.825875
match_267,match,0.454893,0.255798,0.345391,0.224549,0.227082,0.04047,0.824479
match_728,match,0.456219,0.25468,0.345373,0.229936,0.231145,0.01001,0.825873
match_452,match,0.455744,0.254982,0.345325,0.228289,0.229408,0.019391,0.826317
match_550,match,0.455482,0.255184,0.345318,0.229242,0.230544,0.016406,0.825552
match_8,match,0.453208,0.256989,0.345287,0.222697,0.227371,0.05201,0.825621
match_480,match,0.456233,0.254507,0.345284,0.221484,0.226991,0.040592,0.825724
match_219,match,0.455323,0.255183,0.345246,0.229003,0.230152,0.017392,0.826166
match_26,match,0.454743,0.255612,0.345221,0.226668,0.229265,0.029684,0.824011
match_236,match,0.455532,0.254923,0.345197,0.228919,0.230046,0.016207,0.826147
match_323,match,0.454933,0.255338,0.345156,0.2253,0.228475,0.030279,0.828817
match_112,match,0.453479,0.256478,0.345129,0.219325,0.224038,0.0626,0.828421
match_39,match,0.453915,0.256057,0.345093,0.225513,0.228712,0.033819,0.828707
team:Honduras,team,0.452426,0.257211,0.345057,0.222268,0.225806,0.031809,0.866526
match_526,match,0.454558,0.255343,0.34499,0.228242,0.229271,0.022177,0.826074
match_513,match,0.455757,0.254171,0.344885,0.224019,0.227257,0.028653,0.829058
match_736,match,0.454559,0.254918,0.344756,0.220261,0.225755,0.048831,0.825732
match_301,match,0.454644,0.254531,0.344582,0.227559,0.228674,0.019961,0.826313
match_727,match,0.454726,0.254419,0.344557,0.226109,0.228921,0.021812,0.828212
match_192,match,0.454318,0.254594,0.34447,0.227509,0.228396,0.020774,0.826655
match_178,match,0.454691,0.254249,0.344448,0.227873,0.230567,0.01587,0.823294
match_735,match,0.454194,0.25459,0.344412,0.225445,0.227783,0.02939,0.824037
match_208,match,0.453306,0.255195,0.344345,0.22406,0.226977,0.036157,0.827886
match_468,match,0.454725,0.253865,0.344252,0.220518,0.225957,0.041076,0.825864
team:Japan,team,0.439601,0.266165,0.344211,0.219148,0.221701,0.092224,0.885243
match_566,match,0.454617,0.253826,0.344182,0.22034,0.225818,0.041731,0.825638
match_174,match,0.454223,0.253957,0.344077,0.224617,0.227743,0.024916,0.828786
match_595,match,0.453516,0.254503,0.344059,0.223341,0.226686,0.035518,0.826111
match_964,match,0.453888,0.254127,0.344019,0.224653,0.227375,0.026712,0.828471
match_577,match,0.454268,0.253812,0.344017,0.224321,0.226812,0.029183,0.824477
match_155,match,0.453894,0.254092,0.344003,0.227028,0.228259,0.019568,0.826152
match_297,match,0.453831,0.254123,0.343992,0.225198,0.22773,0.027106,0.824306
match_885,match,0.453771,0.254025,0.343911,0.224495,0.227231,0.026783,0.828471
match_826,match,0.453573,0.254139,0.343884,0.227971,0.229116,0.015644,0.826166
match_154,match,0.454119,0.253668,0.343871,0.224482,0.226772,0.027762,0.82468
match_603,match,0.452988,0.254207,0.343659,0.227885,0.22895,0.016787,0.825884
match_709,match,0.453445,0.25377,0.343623,0.226086,0.229093,0.018053,0.827355
match_549,match,0.453094,0.254055,0.343622,0.220066,0.224873,0.044171,0.827928
match_749,match,0.453104,0.253956,0.343573,0.226301,0.227657,0.022164,0.825674
match_284,match,0.453644,0.253491,0.34356,0.224162,0.226439,0.02816,0.824682
match_852,match,0.453017,0.25395,0.34353,0.228219,0.229295,0.013696,0.825755
match_302,match,0.453389,0.253632,0.343523,0.227529,0.228921,0.014445,0.825599
match_940,match,0.453135,0.253838,0.343522,0.225271,0.228201,0.022185,0.82768
match_343,match,0.453181,0.25378,0.343511,0.222723,0.226039,0.033792,0.826302
team:North Korea,team,0.449804,0.256522,0.343499,0.220938,0.22369,0.038308,0.861278
team:Jamaica,team,0.456159,0.25129,0.343481,0.224125,0.226681,0.015047,0.823144
match_378,match,0.453063,0.253778,0.343456,0.226715,0.229409,0.018184,0.823457
match_317,match,0.452529,0.254041,0.34336,0.225962,0.228857,0.020502,0.827377
match_225,match,0.453137,0.25336,0.34326,0.224679,0.227206,0.024749,0.824299
match_72,match,0.452915,0.253285,0.343118,0.223759,0.22601,0.028773,0.824687
match_476,match,0.452497,0.253576,0.34309,0.226209,0.227085,0.020439,0.826657
match_260,match,0.452179,0.253813,0.343078,0.226934,0.228002,0.018661,0.825978
match_617,match,0.451801,0.254093,0.343062,0.220852,0.224391,0.044365,0.825732
match_347,match,0.452183,0.253705,0.34302,0.221215,0.224502,0.040292,0.826386
match_56,match,0.452871,0.253128,0.343013,0.223691,0.226606,0.024952,0.827884
match_743,match,0.452269,0.253619,0.343012,0.222113,0.225651,0.035576,0.82573
match_16,match,0.450694,0.254833,0.342971,0.220406,0.224907,0.049168,0.826055
match_334,match,0.452604,0.253264,0.342967,0.227652,0.228961,0.011735,0.825577
match_492,match,0.452263,0.253524,0.342956,0.222,0.225257,0.035551,0.826437
match_328,match,0.452209,0.253545,0.342944,0.226821,0.22792,0.017366,0.826111
match_794,match,0.452392,0.253378,0.342934,0.226531,0.229004,0.016702,0.8238
match_52,match,0.45238,0.253366,0.342922,0.223932,0.226222,0.028517,0.824524
match_414,match,0.452728,0.252901,0.342823,0.218907,0.224283,0.042509,0.82603
match_734,match,0.451574,0.253672,0.342728,0.225001,0.227577,0.025485,0.823719
match_510,match,0.452412,0.252869,0.342663,0.222695,0.22519,0.030798,0.824481
match_511,match,0.451983,0.253209,0.342657,0.224512,0.225827,0.025372,0.826422
match_263,match,0.451801,0.253329,0.342641,0.226464,0.227351,0.017795,0.826498
match_213,match,0.452004,0.253112,0.342613,0.218277,0.222957,0.046469,0.828419
match_383,match,0.451545,0.253401,0.342566,0.226785,0.227699,0.016786,0.82638
match_363,match,0.452208,0.252815,0.342542,0.222989,0.225265,0.029355,0.82469
match_779,match,0.451993,0.252985,0.342538,0.226405,0.228871,0.015204,0.823215
match_165,match,0.451984,0.252865,0.342468,0.223322,0.22585,0.027945,0.824273
match_243,match,0.451608,0.2531,0.342429,0.223338,0.225722,0.029509,0.824411
match_509,match,0.451909,0.252783,0.34239,0.222021,0.224877,0.030503,0.828074
match_241,match,0.45178,0.252765,0.342322,0.226149,0.228873,0.014896,0.822684
match_520,match,0.451655,0.252824,0.342298,0.222534,0.225638,0.027517,0.828764
match_134,match,0.451629,0.252797,0.342271,0.225686,0.226668,0.017899,0.826505
match_141,match,0.450804,0.253335,0.342196,0.223551,0.226492,0.026922,0.827762
match_462,match,0.451278,0.252941,0.342193,0.220565,0.223834,0.038558,0.826382
match_276,match,0.451613,0.252649,0.342183,0.223441,0.225708,0.026346,0.824524
match_352,match,0.451413,0.252814,0.342183,0.225036,0.225974,0.020989,0.826663
match_463,match,0.450616,0.253399,0.342147,0.216511,0.221787,0.056821,0.826127
match_694,match,0.450961,0.253016,0.342091,0.225978,0.226858,0.018105,0.826493
match_821,match,0.45147,0.252595,0.342089,0.223228,0.225711,0.02678,0.824266
match_262,match,0.451508,0.252473,0.342038,0.224794,0.227558,0.019244,0.822721
match_189,match,0.451337,0.25257,0.342015,0.224193,0.226915,0.021936,0.823947
match_565,match,0.451343,0.252525,0.341993,0.223116,0.225597,0.026865,0.824266
match_770,match,0.45081,0.252955,0.34199,0.225202,0.226045,0.021271,0.826658
match_70,match,0.45128,0.252525,0.341965,0.223226,0.225496,0.026562,0.824523
match_599,match,0.450989,0.252724,0.341943,0.227378,0.228498,0.00998,0.825534
match_443,match,0.451272,0.252486,0.34194,0.223671,0.225968,0.024287,0.824405
match_214,match,0.451683,0.252135,0.341932,0.224306,0.225631,0.019599,0.82642
match_765,match,0.451353,0.252395,0.341926,0.221859,0.22435,0.031707,0.824483
match_835,match,0.45103,0.252601,0.341894,0.222121,0.224536,0.031922,0.824478
match_754,match,0.451016,0.252609,0.341892,0.226103,0.228712,0.014455,0.822489
match_161,match,0.450872,0.252603,0.341824,0.217403,0.222058,0.047376,0.828418
match_493,match,0.451136,0.252384,0.341823,0.223009,0.225288,0.026667,0.824523
match_136,match,0.451148,0.252355,0.341812,0.222968,0.225259,0.026657,0.824523
match_519,match,0.450677,0.252737,0.34181,0.221099,0.224666,0.034797,0.825582
match_666,match,0.450686,0.252707,0.341797,0.221357,0.226082,0.031391,0.825575
match_678,match,0.4501,0.252923,0.341653,0.221382,0.22469,0.034861,0.825968
match_277,match,0.450037,0.252966,0.341648,0.223454,0.226649,0.024243,0.828361
match_300,match,0.451306,0.251742,0.341546,0.217153,0.222591,0.043297,0.825985
match_139,match,0.450399,0.252248,0.341416,0.224528,0.227112,0.018726,0.823773
match_517,match,0.450474,0.252182,0.341414,0.223171,0.22546,0.024721,0.824397
match_471,match,0.45012,0.252399,0.341374,0.225248,0.22639,0.017565,0.825851
match_761,match,0.450255,0.252083,0.34126,0.222372,0.224839,0.027566,0.824257
match_514,match,0.450395,0.251907,0.341226,0.222247,0.224555,0.027162,0.824521
match_417,match,0.450139,0.251947,0.341134,0.222278,0.224542,0.027347,0.824522
match_865,match,0.449484,0.252355,0.341063,0.224972,0.225835,0.018659,0.826486
match_324,match,0.449542,0.25216,0.340982,0.224873,0.227793,0.013798,0.827283
match_591,match,0.449178,0.252336,0.340915,0.216985,0.222341,0.048144,0.825643
match_474,match,0.448954,0.2525,0.340904,0.223289,0.226395,0.022186,0.828461
match_388,match,0.448819,0.25261,0.340904,0.214197,0.219571,0.062393,0.826164
match_954,match,0.449339,0.252135,0.340876,0.216937,0.221536,0.046667,0.828466
match_180,match,0.449483,0.252003,0.340869,0.223498,0.225794,0.022215,0.824174
match_205,match,0.449523,0.251929,0.340846,0.22487,0.227795,0.012363,0.827281
match_322,match,0.449576,0.251856,0.34083,0.222635,0.2249,0.025208,0.824388
match_27,match,0.449248,0.252104,0.340819,0.21827,0.22318,0.040173,0.827819
match_51,match,0.449291,0.25206,0.340814,0.223716,0.226092,0.02152,0.824021
match_740,match,0.449312,0.251981,0.34078,0.223926,0.226815,0.017161,0.827213
match_719,match,0.449039,0.25197,0.340651,0.225094,0.22635,0.015647,0.825449
match_844,match,0.448935,0.252005,0.340623,0.226082,0.227361,0.011544,0.824989
match_91,match,0.448419,0.252386,0.340601,0.21755,0.222313,0.045456,0.827925
match_103,match,0.448822,0.252043,0.340593,0.215559,0.220357,0.052213,0.828314
match_926,match,0.448967,0.251749,0.340497,0.223345,0.224255,0.022202,0.826666
match_551,match,0.449237,0.251447,0.340452,0.216308,0.221602,0.045615,0.825981
match_547,match,0.447837,0.252462,0.340381,0.219349,0.224059,0.039465,0.825109
match_583,match,0.449084,0.251242,0.340271,0.219996,0.223668,0.030616,0.825185
match_459,match,0.44843,0.251711,0.340234,0.218384,0.221895,0.040955,0.825705
match_117,match,0.448824,0.251232,0.340148,0.223638,0.225988,0.01675,0.824012
match_760,match,0.448208,0.251725,0.340143,0.218629,0.221836,0.040032,0.826366
match_575,match,0.448057,0.251731,0.340078,0.224723,0.225826,0.015992,0.825686
match_690,match,0.447764,0.251844,0.340008,0.217869,0.222619,0.040622,0.827917
match_646,match,0.44795,0.251523,0.339915,0.220414,0.223887,0.030705,0.825312
match_149,match,0.448976,0.250681,0.339914,0.222709,0.225404,0.017075,0.823891
match_867,match,0.448213,0.251183,0.339847,0.223915,0.226369,0.015344,0.82344
match_636,match,0.448842,0.250596,0.339807,0.214328,0.219692,0.049221,0.826165
match_291,match,0.448504,0.250732,0.33973,0.215329,0.220126,0.045091,0.82831
match_34,match,0.448086,0.250939,0.339655,0.217807,0.221254,0.038545,0.826296
match_832,match,0.447216,0.251546,0.339598,0.222284,0.225385,0.021043,0.828209
match_502,match,0.447963,0.250906,0.339581,0.222417,0.22471,0.020374,0.82415
match_656,match,0.447537,0.251224,0.339565,0.221472,0.223938,0.026643,0.823816
match_234,match,0.44798,0.250651,0.339449,0.222977,0.22614,0.013159,0.82657
match_222,match,0.447115,0.251231,0.339379,0.216174,0.221511,0.044922,0.825806
match_371,match,0.447367,0.250954,0.33934,0.22483,0.225955,0.010682,0.825558
match_594,match,0.44667,0.250631,0.338849,0.217483,0.221031,0.038281,0.825754
match_285,match,0.446464,0.250663,0.338773,0.222497,0.225469,0.015425,0.82715
match_738,match,0.446847,0.250319,0.338757,0.222283,0.224842,0.017156,0.823684
match_82,match,0.446085,0.250932,0.338751,0.217089,0.221807,0.038618,0.827861
match_403,match,0.446287,0.250578,0.338647,0.223147,0.224197,0.016098,0.825797
match_823,match,0.44597,0.250383,0.338397,0.222448,0.225467,0.013869,0.827068
match_292,match,0.445936,0.250392,0.338386,0.222076,0.225288,0.014683,0.828064
match_98,match,0.446581,0.249813,0.338359,0.216872,0.220299,0.035885,0.826268
match_605,match,0.445494,0.250532,0.338265,0.219297,0.222352,0.028586,0.828234
match_723,match,0.446021,0.250097,0.338263,0.22135,0.22464,0.016287,0.827707
match_725,match,0.445814,0.250047,0.338142,0.221111,0.223379,0.021115,0.824117
match_891,match,0.445832,0.250031,0.338142,0.221571,0.223891,0.018896,0.82396
match_84,match,0.445906,0.249932,0.338121,0.215846,0.221272,0.038273,0.825633
match_3,match,0.443633,0.251773,0.33811,0.218427,0.221821,0.045538,0.819002
match_773,match,0.445682,0.250081,0.338102,0.220331,0.22276,0.024857,0.823788
match_312,match,0.445197,0.24999,0.337833,0.222393,0.22487,0.015244,0.822867
match_941,match,0.444877,0.250113,0.337757,0.220389,0.222729,0.024911,0.823843
match_957,match,0.445145,0.249578,0.337583,0.219586,0.222067,0.025077,0.823774
match_912,match,0.444481,0.250037,0.337537,0.221882,0.225011,0.013541,0.828021
match_778,match,0.445286,0.249349,0.337521,0.2116,0.216833,0.05432,0.826092
match_689,match,0.444501,0.249979,0.337514,0.220065,0.222955,0.022328,0.827493
match_791,match,0.444899,0.249613,0.337492,0.222784,0.224131,0.011789,0.824888
match_641,match,0.444924,0.24938,0.337375,0.215063,0.21846,0.041476,0.826465
match_615,match,0.4446,0.249525,0.337309,0.216857,0.222262,0.031382,0.825164
match_843,match,0.444675,0.249451,0.337302,0.222975,0.224341,0.009698,0.825156
match_525,match,0.443977,0.249908,0.337239,0.220016,0.22305,0.021177,0.82858
match_637,match,0.444672,0.2493,0.337217,0.211874,0.216524,0.052316,0.828406
match_200,match,0.444781,0.249208,0.337216,0.214813,0.218166,0.041691,0.826369
match_142,match,0.44418,0.249615,0.337169,0.214208,0.219,0.04361,0.827822
match_856,match,0.443996,0.249682,0.337124,0.219733,0.222634,0.022086,0.827335
match_95,match,0.444123,0.249547,0.337107,0.216006,0.220727,0.035085,0.827674
match_629,match,0.444068,0.249574,0.337096,0.216872,0.22028,0.034909,0.825496
match_389,match,0.444385,0.249291,0.337084,0.2156,0.219057,0.038801,0.825709
match_673,match,0.444374,0.249278,0.337072,0.221481,0.224088,0.014693,0.823015
match_304,match,0.444568,0.248938,0.336971,0.215586,0.218983,0.036436,0.826235
match_13,match,0.443543,0.249581,0.336864,0.216896,0.220443,0.03857,0.819137
match_164,match,0.442907,0.249951,0.336781,0.220605,0.222555,0.026917,0.818506
match_542,match,0.444172,0.248872,0.336757,0.221361,0.223968,0.01271,0.823007
match_226,match,0.444161,0.248841,0.336735,0.214252,0.217607,0.041991,0.826368
match_935,match,0.443811,0.249023,0.336677,0.215723,0.219329,0.03652,0.825349
match_486,match,0.443524,0.249155,0.336621,0.219788,0.222807,0.017562,0.828568
match_634,match,0.443237,0.249361,0.336605,0.215893,0.220394,0.036066,0.825688
match_787,match,0.443171,0.24934,0.336564,0.220832,0.223903,0.01389,0.828415
match_47,match,0.439786,0.252002,0.336505,0.215528,0.219452,0.059025,0.819684
match_422,match,0.443004,0.249226,0.336426,0.215537,0.220717,0.035589,0.825839
match_465,match,0.44276,0.248994,0.336189,0.221101,0.223104,0.018625,0.818378
match_444,match,0.442448,0.24896,0.33603,0.220033,0.222885,0.016429,0.827081
match_783,match,0.442419,0.248845,0.335953,0.215433,0.220202,0.033493,0.827299
match_327,match,0.443015,0.248152,0.33584,0.213042,0.21836,0.040255,0.825704
match_64,match,0.442937,0.24819,0.335826,0.218005,0.221369,0.025158,0.818993
match_504,match,0.44181,0.248673,0.335585,0.219171,0.222061,0.018443,0.827266
match_85,match,0.442651,0.24798,0.335582,0.217643,0.221031,0.025474,0.819
match_97,match,0.442349,0.248184,0.335558,0.220193,0.222143,0.017781,0.818503
match_399,match,0.441998,0.248405,0.335522,0.214975,0.219372,0.034543,0.825656
match_131,match,0.442281,0.248163,0.335516,0.220158,0.222105,0.017813,0.818502
match_557,match,0.442053,0.248309,0.335494,0.214957,0.220115,0.032598,0.825811
match_420,match,0.441926,0.248381,0.335476,0.219797,0.222738,0.013843,0.826925
match_429,match,0.442565,0.247853,0.335474,0.213823,0.219204,0.034779,0.825527
match_156,match,0.441433,0.248639,0.335396,0.215527,0.219988,0.033544,0.825326
match_408,match,0.441658,0.248451,0.335394,0.218748,0.221513,0.018985,0.827658
match_888,match,0.441686,0.248409,0.335383,0.221861,0.223129,0.00876,0.824751
match_258,match,0.441976,0.248097,0.335342,0.220044,0.221982,0.017952,0.818494
match_528,match,0.44207,0.247943,0.3353,0.220516,0.223315,0.011429,0.821488
match_877,match,0.442243,0.247691,0.33524,0.213267,0.21663,0.039305,0.826433
match_150,match,0.441334,0.24836,0.335198,0.214565,0.219135,0.036027,0.825379
match_228,match,0.441348,0.24813,0.335078,0.215536,0.219993,0.030327,0.825325
match_23,match,0.439469,0.249534,0.335005,0.217087,0.221149,0.036266,0.819498
match_264,match,0.440585,0.248474,0.334924,0.219404,0.221502,0.023344,0.817925
match_910,match,0.440802,0.248286,0.334918,0.218515,0.22129,0.019323,0.827163
match_233,match,0.441636,0.247566,0.334898,0.216916,0.220274,0.026306,0.818994
match_188,match,0.440832,0.248139,0.334851,0.214589,0.21908,0.034652,0.825415
match_953,match,0.441302,0.247635,0.334785,0.219665,0.222242,0.012945,0.822896
team:Saudi Arabia,team,0.430944,0.256004,0.334727,0.212117,0.215422,0.05815,0.888076
match_445,match,0.44059,0.24784,0.334578,0.218071,0.220817,0.018343,0.827637
match_745,match,0.440367,0.247789,0.334449,0.215692,0.22032,0.027582,0.824676
match_809,match,0.440308,0.247695,0.334371,0.2125,0.217758,0.040283,0.825277
match_665,match,0.439552,0.247612,0.333985,0.214318,0.218692,0.032802,0.825434
team:Iran,team,0.430791,0.254674,0.333927,0.211694,0.215346,0.054997,0.881985
match_217,match,0.438888,0.248039,0.333921,0.215367,0.218704,0.036448,0.819015
match_618,match,0.440119,0.246994,0.3339,0.214388,0.219169,0.02854,0.824415
match_80,match,0.439669,0.247152,0.333785,0.212557,0.217692,0.036546,0.825747
match_876,match,0.43993,0.246814,0.333716,0.218951,0.221762,0.011356,0.821858
match_702,match,0.438624,0.247818,0.33368,0.214799,0.218862,0.036371,0.819092
match_796,match,0.439647,0.246928,0.333651,0.213526,0.219044,0.030911,0.824274
match_442,match,0.439156,0.247289,0.333629,0.21782,0.221433,0.020942,0.817403
team:Denmark,team,0.430185,0.254411,0.333509,0.217028,0.21776,0.031779,0.88521
sponsor:Qatar Airways,sponsor,0.246705,0.404302,0.333384,0.419314,0.428438,0.02391,0.876292
match_18,match,0.438756,0.246853,0.333209,0.212044,0.216484,0.038351,0.825611
match_418,match,0.438364,0.246584,0.332885,0.217629,0.219527,0.019753,0.818465
match_58,match,0.437887,0.246946,0.332869,0.216104,0.219542,0.026354,0.818491
match_825,match,0.43741,0.247139,0.332761,0.217156,0.219218,0.025494,0.817873
match_426,match,0.4382,0.246238,0.332621,0.217907,0.220091,0.016219,0.817801
match_273,match,0.437412,0.24567,0.331954,0.213397,0.217281,0.029347,0.819729
match_122,match,0.436802,0.246111,0.331922,0.217472,0.219442,0.017567,0.818196
match_166,match,0.436116,0.24644,0.331794,0.214553,0.218568,0.028808,0.819374
match_899,match,0.43639,0.245797,0.331564,0.210591,0.21565,0.037356,0.825666
match_869,match,0.435907,0.245922,0.331415,0.212342,0.216687,0.031577,0.825204
match_662,match,0.436572,0.245371,0.331411,0.211538,0.216916,0.030431,0.824581
match_574,match,0.436458,0.245338,0.331342,0.21264,0.216485,0.030829,0.819752
match_943,match,0.435483,0.245659,0.33108,0.216196,0.219169,0.01285,0.827856
match_133,match,0.435411,0.245612,0.331021,0.212201,0.21546,0.036036,0.819051
match_341,match,0.435099,0.245678,0.330917,0.213952,0.218097,0.027012,0.818708
match_838,match,0.4356,0.245257,0.330911,0.211762,0.216425,0.030125,0.824273
match_742,match,0.435344,0.245305,0.330823,0.211198,0.21559,0.03286,0.825308
team:Costa Rica,team,0.42616,0.252669,0.33074,0.21042,0.213908,0.049653,0.880374
match_405,match,0.435237,0.244793,0.330493,0.212094,0.215351,0.031413,0.819052
match_401,match,0.43547,0.244596,0.330489,0.211394,0.215279,0.031887,0.819749
match_357,match,0.434953,0.244982,0.330469,0.21483,0.216696,0.022685,0.818557
match_580,match,0.435107,0.244682,0.330373,0.211914,0.21517,0.03155,0.819055
match_244,match,0.434612,0.245026,0.33034,0.214838,0.219005,0.019141,0.818166
match_455,match,0.435062,0.244638,0.330329,0.20876,0.213926,0.038405,0.825644
match_359,match,0.434625,0.244858,0.330253,0.21495,0.21699,0.021419,0.817966
match_410,match,0.434749,0.244715,0.330231,0.214198,0.216128,0.023823,0.818566
match_210,match,0.435113,0.24433,0.330183,0.214346,0.218361,0.016566,0.819394
match_708,match,0.434659,0.24427,0.329945,0.210701,0.214565,0.033083,0.819764
match_698,match,0.43442,0.24439,0.329904,0.214782,0.218282,0.016756,0.817899
match_135,match,0.434212,0.244339,0.329782,0.213844,0.215761,0.023131,0.818571
match_126,match,0.433997,0.244503,0.329775,0.214003,0.218064,0.019329,0.819108
match_703,match,0.433825,0.244197,0.32953,0.211002,0.214224,0.032785,0.819075
match_830,match,0.433732,0.244092,0.32943,0.213443,0.215374,0.023413,0.818577
match_903,match,0.433296,0.24422,0.329304,0.208014,0.213186,0.03958,0.825085
match_394,match,0.433417,0.244043,0.329262,0.211312,0.214747,0.030271,0.818673
match_104,match,0.433695,0.243653,0.329172,0.213813,0.21787,0.014908,0.819098
match_884,match,0.433023,0.243677,0.328883,0.207561,0.212668,0.03808,0.825591
match_818,match,0.433295,0.243393,0.328849,0.208126,0.213323,0.033521,0.82561
match_340,match,0.43218,0.243901,0.328627,0.211933,0.215814,0.025263,0.819421
match_951,match,0.432368,0.243606,0.328549,0.213656,0.215649,0.019677,0.817949
match_288,match,0.431476,0.243045,0.327839,0.211916,0.215223,0.021577,0.81849
match_553,match,0.43132,0.243127,0.327814,0.213843,0.215852,0.015928,0.817717
match_332,match,0.431642,0.242514,0.327622,0.212714,0.216898,0.013092,0.818393
match_385,match,0.430432,0.242899,0.327289,0.210791,0.21414,0.025801,0.818478
match_657,match,0.430376,0.242889,0.327258,0.211107,0.214385,0.02439,0.81849
match_782,match,0.430123,0.242985,0.327197,0.211595,0.215503,0.021467,0.818757
match_614,match,0.430462,0.242611,0.327144,0.212809,0.214872,0.017402,0.817701
team:Belgium,team,0.410019,0.259041,0.326981,0.213213,0.216165,0.068791,0.894308
