match_id,year,team_a,team_b,stage,neutral_site,host_advantage_a,stadium_capacity_k,temperature_c,humidity,weather,event_attention_m,media_reposts_k,result
275,1982,Netherlands,Portugal,group,1,0.0,42.9,33.5,90.8,windy,24.15,64.65,draw
276,1946,Argentina,Germany,group,1,0.0,69.6,13.7,54.9,windy,34.69,72.02,B_win
277,2006,Belgium,Canada,group,1,0.0,73.7,5.6,43.0,clear,36.96,107.25,B_win
278,1982,Belgium,Spain,quarter_final,1,0.0,46.3,23.6,61.3,hot,51.57,139.46,B_win
279,1930,Belgium,Saudi Arabia,group,1,0.0,71.7,25.6,62.2,clear,30.78,65.91,draw
280,1946,Netherlands,Portugal,group,1,0.0,55.8,21.8,54.9,cloudy,41.16,119.91,draw
281,1994,Japan,Argentina,group,1,0.0,71.9,18.3,68.6,clear,57.09,106.78,draw
282,2006,Spain,England,group,0,0.18,38.6,29.0,36.7,clear,44.36,73.11,draw
283,1946,Qatar,Germany,group,1,0.0,41.6,20.6,36.2,clear,38.98,134.77,A_win
284,1946,Brazil,Croatia,semi_final,1,0.0,63.2,32.7,44.4,clear,57.0,121.47,draw
285,2022,Uruguay,Japan,group,1,0.0,41.1,28.4,29.2,windy,22.37,125.79,A_win
286,2014,USA,Qatar,group,1,0.0,32.1,41.1,29.3,clear,37.15,77.53,A_win
287,1954,Uruguay,Qatar,group,1,0.0,54.1,21.8,46.3,clear,24.31,83.85,A_win
288,1946,USA,Canada,group,1,0.0,70.6,14.0,32.2,clear,44.22,91.79,A_win
289,1970,Australia,Nigeria,semi_final,1,0.0,65.5,24.5,84.6,rain,53.11,143.42,B_win
290,2006,Brazil,France,group,1,0.0,26.5,23.6,57.3,windy,46.75,323.49,draw
291,1978,South Korea,England,group,1,0.0,73.7,19.6,43.1,hot,33.79,162.27,B_win
292,1946,Portugal,Netherlands,group,1,0.0,48.1,16.8,29.9,rain,29.8,97.2,B_win
293,1998,South Korea,Saudi Arabia,group,1,0.0,70.4,26.3,53.4,rain,40.26,74.93,B_win
294,1934,Qatar,Germany,group,1,0.0,62.5,16.8,52.5,cloudy,32.5,120.53,B_win
295,1994,Italy,Spain,round_16,1,0.0,72.3,25.9,95.0,rain,49.87,134.54,A_win
296,1970,Portugal,Japan,group,1,0.0,69.0,36.1,61.1,cloudy,38.66,196.91,B_win
297,1986,Saudi Arabia,Canada,group,1,0.0,33.3,17.8,40.6,windy,27.36,102.65,A_win
298,1986,Croatia,Australia,final,1,0.0,46.4,25.1,95.0,cloudy,70.1,165.22,draw
299,1942,Italy,Germany,group,1,0.0,55.6,22.8,47.8,clear,31.64,97.09,B_win
300,1978,Senegal,Belgium,group,1,0.0,71.9,29.0,68.6,clear,37.08,121.35,A_win
301,1930,Morocco,Brazil,group,1,0.0,56.8,23.3,18.1,clear,29.04,82.56,draw
302,1966,South Korea,Mexico,final,1,0.0,51.7,20.4,77.9,windy,57.18,176.53,B_win
303,1994,Australia,Spain,group,1,0.0,70.1,39.9,59.1,clear,36.23,71.89,draw
304,1950,Brazil,Croatia,group,1,0.0,67.0,25.2,44.0,clear,37.62,99.92,draw
305,1934,Australia,Ghana,group,1,0.0,66.9,19.5,67.8,rain,44.18,107.25,B_win
306,1934,Portugal,Belgium,group,1,0.0,42.0,26.5,71.4,clear,38.15,163.21,draw
307,1974,Saudi Arabia,Germany,quarter_final,1,0.0,56.9,16.6,47.0,rain,46.26,149.13,A_win
308,1994,USA,Brazil,group,1,0.0,51.9,33.9,24.9,cloudy,38.72,233.79,draw
309,1970,Portugal,Belgium,group,1,0.0,47.0,20.1,64.5,hot,27.15,117.88,B_win
310,2010,USA,Argentina,semi_final,1,0.0,62.9,16.0,39.6,cloudy,43.64,156.38,B_win
311,1974,Ghana,USA,round_16,1,0.0,40.9,20.4,65.4,clear,42.4,61.08,A_win
312,2014,Portugal,Japan,group,1,0.0,64.1,26.8,51.4,clear,36.66,231.41,draw
313,2014,Spain,USA,group,0,0.18,31.8,9.7,63.7,rain,40.66,60.89,B_win
314,1954,Morocco,Spain,group,0,0.0,52.5,24.2,63.4,rain,44.61,127.92,B_win
315,2002,Portugal,Ghana,group,1,0.0,51.8,35.4,67.8,cloudy,50.96,100.86,B_win
316,2006,Spain,Canada,group,1,0.0,76.6,28.9,40.7,cloudy,46.15,213.18,B_win
317,1994,Portugal,Brazil,group,1,0.0,44.4,16.7,44.5,rain,36.25,107.89,B_win
318,1998,Italy,Belgium,group,0,0.18,28.6,18.5,75.7,cloudy,38.51,171.08,A_win
319,1998,England,Ghana,round_16,1,0.0,71.9,19.3,49.4,cloudy,44.24,149.83,B_win
320,2014,France,Croatia,group,1,0.0,64.3,21.3,71.8,cloudy,53.07,139.66,A_win
321,1958,Senegal,England,quarter_final,1,0.0,85.1,19.0,45.8,rain,45.65,158.51,draw
322,1950,Brazil,South Korea,group,1,0.0,53.8,19.4,88.2,clear,39.21,100.86,B_win
323,2002,Belgium,Canada,semi_final,1,0.0,91.5,26.4,15.2,clear,44.67,135.98,B_win
324,2018,Nigeria,Qatar,group,0,0.18,42.8,45.2,45.1,clear,34.18,60.83,A_win
325,1982,Senegal,Germany,group,1,0.0,29.7,36.9,36.5,hot,41.66,178.96,B_win
326,1958,Uruguay,Portugal,group,1,0.0,25.4,31.9,56.5,cloudy,35.62,87.95,B_win
327,1998,Argentina,Germany,final,1,0.0,39.6,24.6,31.6,clear,61.91,143.02,B_win
328,1998,South Korea,Croatia,group,1,0.0,52.1,19.8,18.6,clear,40.99,144.05,A_win
329,2018,Portugal,Argentina,group,1,0.0,86.3,30.1,18.4,cloudy,28.58,81.96,draw
330,2010,Nigeria,Ghana,quarter_final,1,0.0,69.6,21.3,52.9,hot,41.98,71.31,B_win
331,1998,Argentina,France,group,1,0.0,62.0,24.5,49.6,cloudy,29.96,57.77,draw
332,1930,Italy,Germany,group,1,0.0,49.5,25.7,57.0,clear,47.27,234.09,B_win
333,1950,South Korea,Portugal,group,1,0.0,63.0,26.6,82.4,rain,44.15,173.36,A_win
334,1934,Morocco,Senegal,group,1,0.0,55.0,13.5,57.0,clear,25.94,93.78,B_win
335,1970,Morocco,Saudi Arabia,group,0,0.0,42.6,26.3,19.2,clear,24.02,50.48,B_win
336,1974,England,Portugal,round_16,0,0.18,54.0,14.6,65.3,rain,41.71,297.4,A_win
337,2022,Argentina,England,quarter_final,1,0.0,75.4,19.7,75.8,clear,47.77,142.91,B_win
338,2006,Morocco,Germany,quarter_final,1,0.0,72.2,19.3,67.2,rain,55.53,139.23,B_win
339,1998,Qatar,Morocco,round_16,1,0.0,58.9,19.5,88.5,rain,46.45,162.08,B_win
340,1966,Spain,Germany,group,1,0.0,36.0,20.7,19.3,rain,41.03,103.46,A_win
341,1998,Netherlands,Qatar,group,0,0.18,41.9,17.6,68.9,clear,44.96,127.29,B_win
342,1974,USA,Mexico,group,1,0.0,53.4,11.8,39.0,clear,34.11,97.64,B_win
343,1962,Germany,Portugal,group,1,0.0,80.9,30.4,63.2,clear,31.33,55.7,B_win
344,1938,Senegal,Argentina,group,1,0.0,74.9,25.9,24.6,hot,42.79,156.64,B_win
345,1970,Morocco,France,group,1,0.0,73.9,19.3,45.6,hot,30.08,168.53,B_win
346,1942,Brazil,Belgium,group,1,0.0,46.3,26.2,53.9,rain,38.08,119.24,A_win
347,1930,Croatia,France,group,1,0.0,56.4,35.5,63.6,cloudy,43.28,187.41,B_win
348,2002,Argentina,Morocco,group,1,0.0,70.8,25.0,81.2,cloudy,32.83,116.16,B_win
349,1974,Senegal,Qatar,group,1,0.0,82.7,25.7,52.7,clear,45.44,155.03,A_win
350,1974,England,Portugal,semi_final,1,0.0,69.9,24.3,57.0,cloudy,60.33,174.05,A_win
351,1998,Portugal,Senegal,group,1,0.0,89.9,21.0,46.0,hot,37.59,201.81,B_win
352,1990,England,Canada,round_16,1,0.0,59.1,29.9,91.1,rain,48.63,120.95,A_win
353,1982,England,Brazil,group,1,0.0,39.2,26.2,36.4,cloudy,33.37,69.58,B_win
354,1950,Italy,Mexico,final,0,0.18,44.6,23.6,44.2,clear,62.35,172.46,A_win
355,1938,Nigeria,USA,round_16,1,0.0,44.1,24.5,46.8,cloudy,43.48,74.02,A_win
356,2002,Portugal,Ghana,group,1,0.0,70.7,37.0,43.8,rain,48.06,139.3,B_win
357,1942,Belgium,South Korea,group,1,0.0,70.8,17.4,38.3,hot,35.71,111.13,B_win
358,1982,Germany,Belgium,group,1,0.0,54.9,19.8,77.9,cloudy,23.3,76.8,B_win
359,1946,South Korea,Australia,semi_final,1,0.0,58.1,29.5,49.2,rain,52.38,172.87,A_win
360,1974,South Korea,Croatia,group,1,0.0,64.8,20.1,78.0,clear,42.48,104.04,A_win
361,1986,Spain,Nigeria,quarter_final,0,0.0,57.2,21.5,62.4,cloudy,39.53,106.13,A_win
362,1930,Japan,Portugal,round_16,1,0.0,22.1,21.3,57.9,clear,60.55,249.25,B_win
363,1978,Belgium,Morocco,group,1,0.0,55.0,25.8,71.6,clear,31.24,64.98,draw
364,1966,Spain,England,round_16,1,0.0,48.3,25.2,73.4,clear,62.09,154.08,A_win
365,1958,Canada,Uruguay,group,1,0.0,42.2,31.4,31.0,rain,41.78,134.6,draw
366,1990,Netherlands,Qatar,group,1,0.0,44.4,14.9,56.7,hot,44.72,118.91,A_win
367,1998,South Korea,Italy,group,1,0.0,58.2,37.9,68.4,clear,28.38,28.7,B_win
368,1950,Argentina,Belgium,semi_final,1,0.0,50.8,21.0,58.5,clear,47.99,143.46,B_win
369,1990,Spain,Belgium,group,1,0.0,56.9,24.5,51.0,clear,31.55,93.46,draw
370,1990,Ghana,Germany,round_16,1,0.0,50.5,19.3,84.5,cloudy,38.06,149.09,A_win
371,1934,USA,Italy,round_16,1,0.0,26.8,16.4,43.4,clear,37.08,86.14,A_win
372,1978,Brazil,England,round_16,1,0.0,33.4,16.0,57.2,clear,40.63,167.39,A_win
373,1982,Argentina,Japan,round_16,0,0.0,54.2,32.5,31.6,hot,33.58,83.82,B_win
374,1938,Ghana,Australia,group,1,0.0,59.4,17.7,52.0,clear,34.17,106.16,A_win
375,1962,Saudi Arabia,Portugal,group,1,0.0,73.0,28.0,67.4,clear,31.92,79.34,A_win
376,1954,South Korea,Nigeria,group,1,0.0,83.5,22.8,79.2,cloudy,36.97,66.46,B_win
377,2022,Ghana,Morocco,group,1,0.0,62.9,20.9,20.5,hot,46.49,140.92,A_win
378,1958,Japan,Netherlands,group,1,0.0,56.5,18.6,67.0,cloudy,34.9,71.64,draw
379,1950,Spain,Uruguay,group,1,0.0,52.6,29.8,61.4,clear,46.68,85.46,B_win
380,1986,England,Saudi Arabia,group,1,0.0,43.4,36.1,67.7,clear,43.43,103.26,A_win
381,1994,Mexico,Senegal,group,1,0.0,53.8,18.7,55.1,cloudy,32.31,157.61,A_win
382,1966,Portugal,England,group,1,0.0,28.8,31.9,95.0,clear,38.55,55.05,B_win
383,2014,Australia,Morocco,group,1,0.0,47.6,24.9,50.6,windy,32.17,86.02,A_win
384,2006,Croatia,Argentina,group,1,0.0,48.1,25.0,68.1,hot,36.53,85.51,B_win
385,2006,Morocco,Portugal,group,1,0.0,64.2,25.9,49.1,clear,37.19,64.7,draw
386,2002,Nigeria,Uruguay,group,1,0.0,70.5,24.3,41.9,clear,34.86,94.31,draw
387,1954,Mexico,Saudi Arabia,group,1,0.0,45.0,26.1,72.1,clear,37.06,67.93,A_win
388,1962,Australia,Senegal,group,0,0.0,72.1,18.6,77.7,clear,29.91,62.36,B_win
389,1934,Ghana,Australia,semi_final,1,0.0,76.6,29.7,80.5,clear,35.06,150.2,draw
390,1978,Netherlands,USA,group,1,0.0,44.8,26.6,25.5,clear,37.84,183.79,B_win
391,1950,Canada,France,round_16,1,0.0,60.4,31.7,44.8,clear,49.8,148.69,B_win
392,2022,Mexico,Belgium,group,0,0.18,54.5,21.9,64.4,cloudy,25.24,103.57,A_win
393,1946,Nigeria,South Korea,round_16,1,0.0,77.8,24.3,65.5,clear,41.45,167.54,B_win
394,2010,Netherlands,Germany,group,0,0.0,42.4,18.9,32.1,windy,47.03,157.18,B_win
395,1958,USA,Croatia,group,0,0.0,42.8,16.8,42.2,cloudy,55.47,240.02,A_win
396,2018,Brazil,Germany,group,1,0.0,67.7,22.7,53.8,cloudy,34.99,138.87,B_win
397,1966,Morocco,France,group,1,0.0,60.7,14.0,52.1,cloudy,40.39,101.48,draw
398,1982,France,Morocco,group,0,0.0,58.2,14.4,48.3,cloudy,35.89,124.62,B_win
399,2022,Japan,Netherlands,group,1,0.0,75.3,12.2,60.0,cloudy,35.1,80.81,draw
400,1990,Australia,Japan,quarter_final,1,0.0,68.6,17.9,46.3,windy,55.68,134.44,B_win
401,2022,Spain,Qatar,group,0,0.18,27.8,16.3,76.3,hot,35.69,138.25,draw
402,2018,Nigeria,Senegal,final,1,0.0,80.3,11.8,46.0,clear,77.61,226.73,A_win
403,1962,Japan,Argentina,group,1,0.0,58.0,24.8,39.2,clear,42.23,151.72,A_win
404,1934,Argentina,Canada,group,0,0.18,54.5,25.8,49.4,windy,34.16,67.71,B_win
405,1942,Netherlands,Japan,round_16,1,0.0,64.1,29.2,48.1,hot,37.14,134.68,A_win
406,2010,Morocco,Netherlands,quarter_final,1,0.0,26.4,33.5,65.1,clear,50.36,173.26,draw
407,1966,Nigeria,Mexico,round_16,1,0.0,49.3,38.3,46.7,rain,31.32,69.1,B_win
408,2010,Germany,Saudi Arabia,semi_final,1,0.0,71.2,31.4,60.5,windy,49.33,136.71,draw
409,1986,USA,Brazil,round_16,1,0.0,81.7,29.5,35.4,rain,56.69,110.29,B_win
410,1954,England,Brazil,group,1,0.0,42.2,23.3,30.9,cloudy,43.37,168.85,A_win
411,1986,Netherlands,Croatia,group,1,0.0,28.5,24.9,49.5,cloudy,35.61,213.56,A_win
412,1978,Germany,Uruguay,group,1,0.0,42.9,18.6,74.7,cloudy,40.81,145.03,A_win
413,1942,Belgium,Qatar,group,1,0.0,57.3,28.3,65.2,windy,30.43,68.87,B_win
414,1990,Canada,Germany,group,1,0.0,79.6,29.0,40.3,clear,35.91,128.15,draw
415,2002,Brazil,Germany,quarter_final,1,0.0,62.1,28.9,30.5,cloudy,31.29,70.05,B_win
416,1934,Argentina,Senegal,round_16,1,0.0,64.2,26.8,63.5,clear,49.87,220.35,B_win
417,1990,Argentina,France,round_16,0,0.18,59.9,9.9,56.6,clear,47.49,94.19,B_win
418,2002,Spain,Canada,group,1,0.0,44.8,24.0,73.6,clear,46.76,137.66,draw
419,1954,Australia,Ghana,group,1,0.0,62.7,38.0,48.1,hot,38.0,114.36,B_win
420,2014,Netherlands,Qatar,group,1,0.0,72.4,23.9,52.3,clear,40.24,171.1,A_win
421,1942,Belgium,USA,group,1,0.0,38.0,22.2,41.2,clear,41.73,219.82,draw
422,1990,Portugal,Belgium,group,1,0.0,65.0,32.2,26.3,hot,37.37,100.64,A_win
423,2010,Netherlands,Croatia,round_16,1,0.0,58.5,16.4,67.1,cloudy,37.14,175.06,B_win
424,1930,USA,Mexico,final,1,0.0,53.9,15.5,75.0,clear,67.93,191.74,draw
425,1954,Senegal,Australia,group,1,0.0,94.6,13.4,63.7,windy,45.28,194.33,A_win
426,1986,Australia,South Korea,group,1,0.0,57.9,14.7,71.1,clear,40.22,181.43,A_win
427,1986,South Korea,England,round_16,1,0.0,44.1,36.3,39.5,cloudy,45.71,167.65,B_win
428,1982,Italy,Qatar,group,1,0.0,41.0,23.0,40.4,clear,39.06,155.64,draw
429,1978,Belgium,Senegal,group,1,0.0,51.8,25.9,38.9,cloudy,37.76,141.69,B_win
430,1986,Brazil,Belgium,group,1,0.0,70.9,29.6,92.4,clear,43.49,92.53,draw
431,1954,Netherlands,USA,group,0,0.18,48.4,28.1,71.0,clear,40.27,101.81,draw
432,1942,Australia,Brazil,round_16,1,0.0,38.4,25.2,65.7,rain,41.78,126.05,B_win
433,1954,Saudi Arabia,Japan,group,0,0.0,80.8,29.7,40.2,clear,36.93,138.83,A_win
434,1994,Australia,Saudi Arabia,group,1,0.0,54.4,23.7,45.1,rain,37.88,112.09,draw
435,1986,Australia,Uruguay,quarter_final,1,0.0,38.6,24.9,64.7,clear,50.66,99.85,B_win
436,1954,Croatia,Nigeria,quarter_final,1,0.0,69.5,22.9,68.1,clear,39.46,111.58,A_win
437,1938,Australia,Portugal,group,1,0.0,97.8,27.1,34.2,clear,48.19,173.0,B_win
438,1934,Australia,France,round_16,1,0.0,33.0,28.3,78.2,rain,43.97,152.22,draw
439,1958,Qatar,Senegal,group,1,0.0,41.1,20.1,60.8,clear,50.01,197.63,B_win
440,1994,Australia,Senegal,semi_final,1,0.0,65.4,26.2,54.6,rain,48.99,162.84,A_win
441,2002,Germany,Italy,group,1,0.0,37.8,22.5,59.8,hot,37.76,133.7,B_win
442,1978,Argentina,Brazil,semi_final,1,0.0,56.3,23.3,58.6,clear,42.35,308.96,B_win
443,1950,Nigeria,Germany,group,0,0.0,68.8,37.4,22.1,clear,8.0,6.18,B_win
444,2006,Ghana,Germany,group,1,0.0,67.4,21.1,24.5,clear,42.26,234.2,A_win
445,2010,Spain,Qatar,quarter_final,1,0.0,64.3,14.0,72.0,hot,48.89,121.23,B_win
446,1962,Spain,Germany,round_16,1,0.0,61.9,22.1,63.2,cloudy,49.42,143.58,draw
447,1998,Mexico,Japan,round_16,1,0.0,58.5,21.9,52.1,rain,46.62,78.72,B_win
448,1974,Mexico,Japan,group,1,0.0,44.0,17.0,26.8,clear,33.26,161.44,draw
449,1974,Germany,Italy,group,1,0.0,68.5,39.4,62.5,cloudy,48.44,117.46,B_win
450,2014,Australia,Canada,group,1,0.0,61.6,31.1,65.8,hot,31.68,72.01,draw
451,2014,Morocco,England,quarter_final,1,0.0,57.9,20.8,76.7,cloudy,44.18,139.98,B_win
452,1970,Qatar,Mexico,group,0,0.18,76.4,14.7,19.2,clear,33.33,161.76,draw
453,1986,USA,Japan,group,1,0.0,76.2,29.4,78.4,clear,25.08,94.71,A_win
454,1950,England,Italy,semi_final,1,0.0,64.2,26.3,78.1,windy,48.3,106.92,A_win
455,1958,Italy,Mexico,group,1,0.0,67.1,19.8,92.7,clear,53.53,168.44,A_win
456,2002,Saudi Arabia,Ghana,semi_final,1,0.0,57.1,31.8,95.0,cloudy,50.58,158.28,B_win
457,1990,Portugal,USA,quarter_final,1,0.0,49.7,23.6,89.8,clear,35.88,78.34,B_win
458,1974,Germany,Mexico,quarter_final,1,0.0,42.1,26.7,95.0,cloudy,51.19,117.22,A_win
459,1982,Croatia,South Korea,quarter_final,1,0.0,52.0,17.3,55.3,clear,44.44,93.71,draw
460,1978,Uruguay,Ghana,group,1,0.0,62.4,22.1,65.9,clear,37.93,99.66,draw
461,1958,Australia,Netherlands,group,1,0.0,98.5,21.3,48.3,cloudy,45.21,146.1,A_win
462,1958,Croatia,Uruguay,group,1,0.0,57.4,14.0,47.5,rain,35.1,105.02,B_win
463,1942,Mexico,Portugal,group,1,0.0,57.4,31.1,77.3,clear,38.52,69.56,draw
464,1994,Qatar,Italy,group,1,0.0,77.2,32.4,39.3,clear,49.4,126.01,draw
465,1982,Mexico,Germany,group,1,0.0,90.3,25.2,95.0,clear,38.54,116.7,B_win
466,1978,Nigeria,France,group,1,0.0,76.1,21.5,57.1,hot,45.04,177.95,B_win
467,1938,Ghana,Australia,group,1,0.0,85.3,38.0,79.4,hot,46.07,128.28,A_win
468,1946,Nigeria,Portugal,group,1,0.0,55.4,24.9,88.9,clear,33.08,101.22,A_win
469,1998,Croatia,Germany,quarter_final,1,0.0,55.5,27.7,63.7,hot,51.4,162.04,A_win
470,2014,Portugal,Croatia,group,1,0.0,37.8,17.3,56.1,hot,30.17,111.47,B_win
471,1970,Senegal,Argentina,quarter_final,1,0.0,39.4,16.1,71.8,clear,34.87,129.72,draw
472,1990,Qatar,Brazil,quarter_final,1,0.0,71.5,17.8,76.9,cloudy,33.87,45.92,A_win
473,1946,Nigeria,Qatar,group,1,0.0,43.4,29.5,31.9,hot,38.88,101.21,B_win
474,2014,Qatar,England,group,1,0.0,56.6,24.8,85.5,clear,36.1,115.36,B_win
475,1974,Morocco,Uruguay,quarter_final,0,0.0,35.6,18.7,85.0,clear,40.26,117.79,draw
476,2018,Argentina,Mexico,group,1,0.0,50.1,9.1,74.6,clear,36.85,99.19,B_win
477,1942,Morocco,Belgium,group,0,0.18,57.1,30.0,68.9,rain,33.37,121.31,draw
478,1954,Spain,Morocco,group,1,0.0,70.2,24.3,42.4,rain,41.69,179.34,A_win
479,2018,Netherlands,Spain,semi_final,1,0.0,67.8,14.6,67.0,clear,46.59,111.74,draw
480,2002,Croatia,England,round_16,1,0.0,53.2,19.5,52.5,rain,52.94,119.9,draw
481,1938,Morocco,Argentina,group,1,0.0,57.0,30.1,48.4,clear,40.74,115.78,draw
482,1974,Japan,Ghana,group,1,0.0,49.4,16.6,53.8,clear,44.82,112.22,draw
483,1942,Mexico,Saudi Arabia,round_16,1,0.0,63.7,28.5,70.9,clear,53.58,114.9,B_win
484,1966,Canada,Belgium,group,1,0.0,90.9,17.7,94.9,cloudy,16.7,37.76,A_win
485,2022,Italy,Senegal,group,1,0.0,69.4,36.7,45.7,rain,44.46,85.06,A_win
486,1970,Argentina,Spain,group,0,0.18,57.3,21.7,45.2,cloudy,46.02,254.42,B_win
487,1958,Australia,USA,round_16,0,0.0,54.6,25.0,45.4,cloudy,43.59,217.69,A_win
488,1946,Brazil,Germany,group,0,0.0,53.8,22.0,31.9,clear,43.43,154.92,A_win
489,1946,Belgium,Nigeria,round_16,1,0.0,34.5,29.2,57.6,windy,47.16,68.3,draw
490,1962,Australia,Mexico,semi_final,1,0.0,73.3,20.8,48.7,clear,43.57,63.64,B_win
491,2006,Qatar,Spain,group,1,0.0,54.7,36.3,95.0,rain,32.32,85.77,B_win
492,1958,Saudi Arabia,Argentina,group,1,0.0,83.8,27.8,70.1,clear,32.74,96.08,draw
493,1998,Portugal,Saudi Arabia,group,1,0.0,61.9,18.6,58.6,cloudy,47.01,96.6,B_win
494,2010,Portugal,Uruguay,group,1,0.0,61.7,24.5,88.9,clear,27.21,76.98,B_win
495,2022,Canada,Belgium,group,1,0.0,55.8,29.9,68.0,cloudy,31.66,67.36,draw
496,1970,Canada,France,group,1,0.0,57.0,12.6,83.4,cloudy,37.52,161.41,B_win
497,1966,Mexico,France,semi_final,0,0.18,70.2,22.0,57.8,clear,45.56,187.8,B_win
498,1978,Morocco,Germany,round_16,1,0.0,53.2,23.8,74.1,clear,43.2,124.16,A_win
499,1982,Senegal,Japan,group,1,0.0,55.3,14.8,39.3,clear,36.62,163.72,B_win
500,1938,Argentina,Brazil,group,1,0.0,50.1,36.7,62.3,rain,31.11,120.19,B_win
501,1974,Canada,Mexico,group,1,0.0,40.2,17.1,47.9,rain,36.45,97.83,A_win
502,1954,Canada,Brazil,group,1,0.0,54.8,26.6,21.5,hot,37.31,331.93,draw
503,1990,Uruguay,France,group,1,0.0,67.0,42.0,69.2,clear,23.84,79.05,B_win
504,1950,Mexico,South Korea,round_16,1,0.0,81.8,24.7,47.9,rain,38.72,60.42,A_win
505,1938,Morocco,Saudi Arabia,round_16,1,0.0,54.2,16.4,75.8,clear,36.78,62.71,B_win
506,1986,Canada,Ghana,group,1,0.0,77.5,24.5,67.9,clear,44.73,265.74,B_win
507,1994,France,Nigeria,quarter_final,1,0.0,59.6,20.5,63.0,windy,43.17,124.28,B_win
508,1990,South Korea,Netherlands,group,1,0.0,29.5,12.7,25.0,hot,35.39,66.0,A_win
509,1954,USA,Mexico,round_16,0,0.18,77.0,26.5,53.8,clear,36.33,109.48,A_win
510,1946,Argentina,Germany,round_16,1,0.0,70.9,29.1,78.6,clear,43.99,192.56,A_win
511,1942,Spain,Qatar,group,1,0.0,85.4,17.0,41.0,cloudy,38.15,142.63,A_win
512,1974,France,Qatar,group,1,0.0,69.0,26.3,57.0,hot,27.22,59.78,B_win
513,1934,Mexico,Brazil,group,1,0.0,49.4,27.0,56.7,hot,24.55,84.41,A_win
514,1986,South Korea,Australia,group,1,0.0,69.5,31.6,40.8,cloudy,29.63,54.89,A_win
515,2002,Australia,Netherlands,group,1,0.0,86.1,24.5,40.0,windy,33.91,58.24,draw
516,2018,USA,Japan,group,1,0.0,68.3,5.3,61.7,clear,37.3,188.49,A_win
517,1966,Belgium,Netherlands,final,1,0.0,43.5,25.4,54.4,clear,58.82,199.07,draw
518,1966,Germany,Saudi Arabia,group,1,0.0,60.7,32.7,56.4,cloudy,40.07,219.91,A_win
519,1946,Nigeria,Qatar,group,1,0.0,52.9,26.3,57.6,cloudy,40.18,126.28,A_win
520,1946,Australia,Senegal,group,1,0.0,70.1,24.5,35.8,rain,36.31,114.79,B_win
521,1974,France,Qatar,quarter_final,1,0.0,30.2,17.9,57.1,clear,40.61,100.83,A_win
522,1958,Argentina,Qatar,group,1,0.0,49.0,23.5,57.5,cloudy,43.76,100.44,B_win
523,1982,Portugal,Ghana,group,1,0.0,57.3,30.1,66.1,cloudy,25.12,116.93,A_win
524,2014,Argentina,Saudi Arabia,group,1,0.0,59.7,19.5,65.2,clear,32.17,75.98,draw
525,1986,South Korea,Germany,group,1,0.0,64.6,25.5,77.2,cloudy,30.09,131.56,A_win
526,2002,Brazil,Spain,quarter_final,1,0.0,20.5,22.0,52.5,clear,55.44,288.66,A_win
527,1974,Brazil,Qatar,group,1,0.0,33.1,28.5,70.2,hot,36.4,93.97,A_win
528,1934,Japan,Argentina,quarter_final,1,0.0,40.6,22.2,55.7,clear,45.95,141.19,B_win
529,1958,Argentina,Croatia,group,1,0.0,65.4,20.8,80.7,rain,27.47,124.28,B_win
530,1986,Germany,Qatar,group,1,0.0,39.6,20.8,56.6,clear,49.27,79.94,draw
531,1962,Japan,France,group,1,0.0,55.7,21.4,73.2,clear,41.33,99.0,A_win
532,1958,Portugal,Australia,group,0,0.18,54.2,23.0,39.9,cloudy,33.15,135.65,B_win
533,1954,Argentina,Croatia,group,1,0.0,57.1,28.4,46.7,clear,38.63,79.48,B_win
534,1954,Brazil,Uruguay,group,0,0.18,48.6,23.0,38.4,clear,45.65,318.83,draw
535,1934,Morocco,South Korea,round_16,1,0.0,47.5,26.4,51.6,rain,38.52,72.5,B_win
536,2010,Uruguay,Argentina,round_16,1,0.0,66.8,22.3,47.8,clear,51.33,125.3,B_win
537,1998,Croatia,Italy,round_16,1,0.0,50.4,18.1,38.3,clear,54.45,264.68,A_win
538,1962,Nigeria,Mexico,quarter_final,1,0.0,14.7,23.3,45.1,clear,59.54,154.5,B_win
539,1954,Brazil,England,final,1,0.0,31.7,37.9,46.4,clear,57.36,404.07,B_win
540,1934,USA,Croatia,semi_final,1,0.0,51.6,22.1,27.0,clear,37.6,77.23,draw
541,1986,England,Spain,group,1,0.0,50.0,16.4,52.8,clear,45.97,123.23,A_win
542,1994,Mexico,Senegal,group,1,0.0,58.0,20.6,51.8,rain,28.84,146.48,draw
543,2022,Brazil,Canada,group,1,0.0,51.0,25.7,23.6,cloudy,29.84,152.4,B_win
544,1974,Senegal,Netherlands,group,1,0.0,54.6,36.8,26.9,clear,46.31,134.32,A_win
545,1998,Australia,Morocco,group,1,0.0,48.5,17.0,33.4,cloudy,42.64,97.56,B_win
546,1970,Nigeria,Brazil,semi_final,1,0.0,68.6,23.9,51.4,cloudy,41.78,119.35,B_win
547,1982,England,Netherlands,group,1,0.0,85.8,34.8,73.9,rain,32.27,87.26,A_win
548,1934,Morocco,Argentina,group,0,0.0,66.3,38.5,58.5,rain,25.51,50.93,B_win
549,2018,Morocco,Senegal,semi_final,1,0.0,57.5,15.9,85.6,clear,51.76,105.61,B_win
550,1942,Uruguay,England,group,1,0.0,63.7,18.9,59.2,cloudy,38.36,102.0,B_win
