panel_id,team,sponsor,predicted_roi,roi_formula_score,roi_per_million_spend
1978_429_Belgium,Belgium,Mastercard,2.593,2.0079,0.456
1986_430_Brazil,Brazil,Nike,2.354,1.9349,0.09
1954_431_Netherlands,Netherlands,Puma,2.445,1.9636,0.242
1942_432_Australia,Australia,Nike,2.887,2.022,0.625
1954_433_Saudi_Arabia,Saudi Arabia,Nike,3.041,2.8474,0.385
1994_434_Australia,Australia,Nike,2.807,2.1699,0.608
1986_435_Australia,Australia,Nike,2.996,2.0738,0.648
1954_436_Croatia,Croatia,Qatar Airways,2.767,2.5098,0.318
1938_437_Australia,Australia,Nike,3.07,2.1678,0.665
1934_438_Australia,Australia,Nike,2.954,2.2398,0.639
1958_439_Qatar,Qatar,Nike,3.014,1.9746,0.585
1994_440_Australia,Australia,Nike,3.058,2.6788,0.662
2002_441_Germany,Germany,Pepsi,2.723,1.994,0.353
1978_442_Argentina,Argentina,Nike,2.999,2.1026,0.32
1950_443_Nigeria,Nigeria,Visa,2.075,1.7152,0.186
2006_444_Ghana,Ghana,Visa,2.975,2.5431,0.424
2010_445_Spain,Spain,Pepsi,2.291,1.661,0.067
1962_446_Spain,Spain,Pepsi,2.347,1.8642,0.069
1998_447_Mexico,Mexico,Emirates,2.785,2.0337,0.676
1974_448_Mexico,Mexico,Emirates,2.666,2.1622,0.647
1974_449_Germany,Germany,Pepsi,2.888,2.0946,0.375
2014_450_Australia,Australia,Nike,2.624,2.0878,0.568
2014_451_Morocco,Morocco,Emirates,2.499,1.8482,0.29
1970_452_Qatar,Qatar,Nike,2.674,2.012,0.519
1986_453_USA,USA,Samsung,2.365,2.384,0.351
1950_454_England,England,Emirates,2.77,2.497,0.125
1958_455_Italy,Italy,Qatar Airways,2.939,2.541,0.285
2002_456_Saudi_Arabia,Saudi Arabia,Nike,3.291,2.4208,0.417
1990_457_Portugal,Portugal,Coca-Cola,2.389,1.8073,0.206
1974_458_Germany,Germany,Pepsi,2.96,2.6361,0.384
1982_459_Croatia,Croatia,Qatar Airways,2.828,2.1606,0.325
1978_460_Uruguay,Uruguay,Pepsi,2.668,2.0311,0.392
1958_461_Australia,Australia,Nike,2.967,2.6595,0.642
1958_462_Croatia,Croatia,Qatar Airways,2.665,1.917,0.307
1942_463_Mexico,Mexico,Emirates,2.641,2.1365,0.641
1994_464_Qatar,Qatar,Nike,2.898,2.1169,0.563
1982_465_Mexico,Mexico,Emirates,2.701,2.0266,0.656
1978_466_Nigeria,Nigeria,Visa,2.959,2.187,0.265
1938_467_Ghana,Ghana,Visa,2.89,2.4968,0.412
1946_468_Nigeria,Nigeria,Visa,2.654,2.5404,0.238
1998_469_Croatia,Croatia,Qatar Airways,3.04,2.644,0.35
2014_470_Portugal,Portugal,Coca-Cola,2.316,1.7788,0.2
1970_471_Senegal,Senegal,Pepsi,2.713,2.1573,0.188
1990_472_Qatar,Qatar,Nike,2.525,2.2687,0.49
1946_473_Nigeria,Nigeria,Visa,2.735,2.039,0.245
2014_474_Qatar,Qatar,Nike,2.637,1.7973,0.512
1974_475_Morocco,Morocco,Emirates,2.413,1.9566,0.28
2018_476_Argentina,Argentina,Nike,2.621,1.8631,0.279
1942_477_Morocco,Morocco,Emirates,2.316,1.9195,0.268
1954_478_Spain,Spain,Pepsi,2.277,2.1978,0.067
2018_479_Netherlands,Netherlands,Puma,2.571,2.0419,0.255
2002_480_Croatia,Croatia,Qatar Airways,2.985,2.2565,0.343
1938_481_Morocco,Morocco,Emirates,2.425,1.9768,0.281
1974_482_Japan,Japan,Samsung,2.722,2.0777,0.226
1942_483_Mexico,Mexico,Emirates,2.973,2.1298,0.722
1966_484_Canada,Canada,Pepsi,2.235,2.2214,0.464
2022_485_Italy,Italy,Qatar Airways,2.644,2.392,0.256
1970_486_Argentina,Argentina,Nike,2.955,2.0852,0.315
1958_487_Australia,Australia,Nike,3.046,2.6727,0.659
1946_488_Brazil,Brazil,Nike,2.414,2.3359,0.092
1946_489_Belgium,Belgium,Mastercard,2.668,2.1873,0.469
1962_490_Australia,Australia,Nike,2.844,2.0108,0.616
2006_491_Qatar,Qatar,Nike,2.538,1.7376,0.493
1958_492_Saudi_Arabia,Saudi Arabia,Nike,2.91,2.4174,0.369
1998_493_Portugal,Portugal,Coca-Cola,2.62,1.9274,0.226
2010_494_Portugal,Portugal,Coca-Cola,2.225,1.7432,0.192
2022_495_Canada,Canada,Pepsi,2.539,1.9844,0.527
1970_496_Canada,Canada,Pepsi,2.741,1.9382,0.569
1966_497_Mexico,Mexico,Emirates,2.901,2.1322,0.704
1978_498_Morocco,Morocco,Emirates,2.482,2.362,0.288
1982_499_Senegal,Senegal,Pepsi,2.789,2.0362,0.193
1938_500_Argentina,Argentina,Nike,2.538,1.8333,0.271
1974_501_Canada,Canada,Pepsi,2.653,2.3989,0.55
1954_502_Canada,Canada,Pepsi,2.984,2.2666,0.619
1990_503_Uruguay,Uruguay,Pepsi,2.406,1.7177,0.354
1950_504_Mexico,Mexico,Emirates,2.632,2.5103,0.639
1938_505_Morocco,Morocco,Emirates,2.294,1.7141,0.266
1986_506_Canada,Canada,Pepsi,2.998,2.1098,0.622
1994_507_France,France,Emirates,2.524,1.8275,0.127
1990_508_South_Korea,South Korea,Nike,2.179,2.1997,0.087
1954_509_USA,USA,Samsung,2.586,2.4928,0.384
1946_510_Argentina,Argentina,Nike,2.864,2.5646,0.305
1942_511_Spain,Spain,Pepsi,2.133,2.1479,0.062
1974_512_France,France,Emirates,2.132,1.6426,0.107
1934_513_Mexico,Mexico,Emirates,2.412,2.3851,0.585
1986_514_South_Korea,South Korea,Nike,2.064,2.1741,0.083
2002_515_Australia,Australia,Nike,2.645,2.1154,0.573
2018_516_USA,USA,Samsung,2.711,2.5643,0.403
1966_517_Belgium,Belgium,Mastercard,3.041,2.4102,0.534
1966_518_Germany,Germany,Pepsi,2.905,2.6498,0.377
1946_519_Nigeria,Nigeria,Visa,2.793,2.6202,0.25
1946_520_Australia,Australia,Nike,2.768,1.9928,0.599
1974_521_France,France,Emirates,2.425,2.3,0.122
1958_522_Argentina,Argentina,Nike,2.716,1.9222,0.29
1982_523_Portugal,Portugal,Coca-Cola,2.232,2.2974,0.193
2014_524_Argentina,Argentina,Nike,2.503,1.9916,0.267
1986_525_South_Korea,South Korea,Nike,2.184,2.2428,0.088
2002_526_Brazil,Brazil,Nike,2.798,2.5282,0.107
1974_527_Brazil,Brazil,Nike,2.191,2.2042,0.084
1934_528_Japan,Japan,Samsung,2.802,1.9251,0.233
1958_529_Argentina,Argentina,Nike,2.459,1.8198,0.262
1986_530_Germany,Germany,Pepsi,2.846,2.224,0.369
1962_531_Japan,Japan,Samsung,2.658,2.4014,0.221
1958_532_Portugal,Portugal,Coca-Cola,2.4,1.8388,0.207
1954_533_Argentina,Argentina,Nike,2.592,1.8667,0.276
1954_534_Brazil,Brazil,Nike,2.657,2.1364,0.101
1934_535_Morocco,Morocco,Emirates,2.334,1.7316,0.27
2010_536_Uruguay,Uruguay,Pepsi,2.958,1.9912,0.435
1998_537_Croatia,Croatia,Qatar Airways,3.226,2.7559,0.371
1962_538_Nigeria,Nigeria,Visa,3.201,2.2371,0.287
1954_539_Brazil,Brazil,Nike,2.984,2.1168,0.114
1934_540_USA,USA,Samsung,2.547,2.0932,0.378
1986_541_England,England,Emirates,2.749,2.4797,0.124
1994_542_Mexico,Mexico,Emirates,2.567,2.1238,0.623
2022_543_Brazil,Brazil,Nike,2.163,1.6762,0.083
1974_544_Senegal,Senegal,Pepsi,2.916,2.631,0.202
1998_545_Australia,Australia,Nike,2.877,2.0122,0.623
1970_546_Nigeria,Nigeria,Visa,2.828,2.1011,0.254
1982_547_England,England,Emirates,2.465,2.362,0.111
1934_548_Morocco,Morocco,Emirates,2.067,1.6184,0.24
2018_549_Morocco,Morocco,Emirates,2.601,1.8816,0.301
1942_550_Uruguay,Uruguay,Pepsi,2.677,1.8578,0.394
1998_551_Canada,Canada,Pepsi,2.625,2.0478,0.545
1934_552_USA,USA,Samsung,2.644,1.9763,0.393
2002_553_Australia,Australia,Nike,2.924,2.0614,0.633
1946_554_Mexico,Mexico,Emirates,2.765,2.5936,0.671
1998_555_England,England,Emirates,2.22,2.164,0.1
1954_556_Brazil,Brazil,Nike,2.036,2.1576,0.078
2006_557_Morocco,Morocco,Emirates,2.486,2.3446,0.288
1974_558_Portugal,Portugal,Coca-Cola,2.428,2.0215,0.21
1970_559_Australia,Australia,Nike,2.601,1.8843,0.563
1986_560_Portugal,Portugal,Coca-Cola,2.532,2.4671,0.219
2014_561_Spain,Spain,Pepsi,2.215,2.1696,0.065
2014_562_Argentina,Argentina,Nike,2.581,2.4082,0.275
1962_563_Brazil,Brazil,Nike,2.279,2.2918,0.087
1986_564_Uruguay,Uruguay,Pepsi,2.737,2.4229,0.402
2006_565_Belgium,Belgium,Mastercard,2.393,1.8916,0.421
1954_566_Saudi_Arabia,Saudi Arabia,Nike,3.294,2.4008,0.417
1958_567_USA,USA,Samsung,2.864,2.1117,0.426
2022_568_Uruguay,Uruguay,Pepsi,2.613,1.795,0.384
1954_569_Mexico,Mexico,Emirates,2.83,2.5792,0.687
1966_570_Uruguay,Uruguay,Pepsi,2.458,2.2572,0.361
1934_571_Italy,Italy,Qatar Airways,3.113,2.107,0.302
2022_572_Croatia,Croatia,Qatar Airways,2.745,2.1248,0.316
2014_573_South_Korea,South Korea,Nike,2.605,2.4456,0.104
1950_574_Australia,Australia,Nike,3.511,2.8777,0.76
2006_575_Italy,Italy,Qatar Airways,2.681,1.8862,0.26
2022_576_USA,USA,Samsung,2.776,2.0398,0.412
2002_577_Australia,Australia,Nike,2.89,2.5899,0.626
1962_578_Canada,Canada,Pepsi,2.914,2.572,0.605
2002_579_Germany,Germany,Pepsi,2.716,2.5532,0.352
1978_580_Japan,Japan,Samsung,2.481,1.9598,0.206
1930_581_Brazil,Brazil,Nike,2.451,2.3822,0.094
1930_582_Argentina,Argentina,Nike,2.57,2.0594,0.274
1990_583_Japan,Japan,Samsung,2.874,1.9901,0.239
1942_584_Italy,Italy,Qatar Airways,2.504,1.9702,0.243
1982_585_Canada,Canada,Pepsi,2.687,2.0708,0.557
1962_586_Belgium,Belgium,Mastercard,2.504,1.9663,0.44
1958_587_South_Korea,South Korea,Nike,2.445,2.0158,0.098
1950_588_Ghana,Ghana,Visa,2.658,2.3275,0.379
1990_589_Netherlands,Netherlands,Puma,2.749,2.4886,0.272
2014_590_Mexico,Mexico,Emirates,2.845,2.6354,0.691
1950_591_Germany,Germany,Pepsi,2.509,2.0795,0.325
2018_592_Saudi_Arabia,Saudi Arabia,Nike,3.113,2.8809,0.395
1998_593_Ghana,Ghana,Visa,2.78,2.0826,0.397
1954_594_Mexico,Mexico,Emirates,2.88,2.257,0.699
1930_595_Spain,Spain,Pepsi,2.439,1.7274,0.071
1962_596_Croatia,Croatia,Qatar Airways,2.783,2.146,0.32
1942_597_Argentina,Argentina,Nike,3.139,2.6741,0.335
1934_598_Italy,Italy,Qatar Airways,2.247,1.8162,0.218
1994_599_Netherlands,Netherlands,Puma,3.176,2.3552,0.315
1930_600_Qatar,Qatar,Nike,2.619,1.9418,0.509
1994_601_Portugal,Portugal,Coca-Cola,2.911,2.0759,0.252
1974_602_Canada,Canada,Pepsi,2.722,2.4503,0.565
1930_603_USA,USA,Samsung,2.565,1.8908,0.381
1990_604_Japan,Japan,Samsung,3.153,2.0902,0.262
1998_605_Saudi_Arabia,Saudi Arabia,Nike,3.052,2.8084,0.387
1958_606_Argentina,Argentina,Nike,2.378,1.7494,0.254
1930_607_Qatar,Qatar,Nike,2.538,1.7426,0.493
1934_608_Nigeria,Nigeria,Visa,2.542,1.9598,0.228
1970_609_Morocco,Morocco,Emirates,2.477,1.8326,0.287
1962_610_Nigeria,Nigeria,Visa,2.465,2.0839,0.221
1938_611_Italy,Italy,Qatar Airways,2.698,1.9004,0.262
2022_612_Spain,Spain,Pepsi,2.277,1.6383,0.067
1970_613_Japan,Japan,Samsung,3.226,2.1623,0.268
1978_614_Qatar,Qatar,Nike,2.912,1.924,0.565
1934_615_Brazil,Brazil,Nike,2.132,2.1836,0.081
1934_616_Mexico,Mexico,Emirates,2.915,2.2744,0.708
1998_617_Portugal,Portugal,Coca-Cola,2.432,1.8538,0.21
2006_618_Qatar,Qatar,Nike,2.649,1.9632,0.514
1978_619_Croatia,Croatia,Qatar Airways,2.84,2.5476,0.327
2010_620_Argentina,Argentina,Nike,2.779,2.4881,0.296
1954_621_Uruguay,Uruguay,Pepsi,2.705,2.3915,0.398
2018_622_Belgium,Belgium,Mastercard,2.302,1.847,0.405
1946_623_Portugal,Portugal,Coca-Cola,2.409,1.8529,0.208
2010_624_Saudi_Arabia,Saudi Arabia,Nike,3.098,2.8464,0.393
1994_625_France,France,Emirates,2.715,2.4697,0.137
2006_626_USA,USA,Samsung,2.379,1.828,0.353
1986_627_Spain,Spain,Pepsi,2.024,2.0636,0.059
1954_628_England,England,Emirates,2.806,1.977,0.127
2018_629_Belgium,Belgium,Mastercard,2.728,2.1082,0.479
1998_630_Saudi_Arabia,Saudi Arabia,Nike,3.414,2.6268,0.433
2010_631_Senegal,Senegal,Pepsi,2.741,2.5553,0.19
1938_632_Netherlands,Netherlands,Puma,2.494,2.3282,0.247
1994_633_Canada,Canada,Pepsi,2.741,2.4507,0.569
1978_634_Uruguay,Uruguay,Pepsi,2.502,1.9194,0.368
2002_635_Qatar,Qatar,Nike,2.61,1.9407,0.507
1954_636_Nigeria,Nigeria,Visa,2.884,2.29,0.259
2002_637_Brazil,Brazil,Nike,2.625,2.0938,0.1
2014_638_Portugal,Portugal,Coca-Cola,2.454,1.8356,0.212
1958_639_Morocco,Morocco,Emirates,2.244,1.7179,0.26
1966_640_England,England,Emirates,2.457,1.8301,0.111
1970_641_Canada,Canada,Pepsi,2.752,1.9398,0.571
1938_642_Uruguay,Uruguay,Pepsi,2.498,1.756,0.367
1966_643_Mexico,Mexico,Emirates,2.694,2.0148,0.654
1946_644_Netherlands,Netherlands,Puma,2.804,2.5026,0.278
1958_645_Qatar,Qatar,Nike,2.743,2.0298,0.533
1950_646_USA,USA,Samsung,2.642,2.1508,0.393
2014_647_Croatia,Croatia,Qatar Airways,2.782,1.9599,0.32
1942_648_England,England,Emirates,2.886,2.5564,0.131
2022_649_Uruguay,Uruguay,Pepsi,3.425,2.7456,0.504
1990_650_Ghana,Ghana,Visa,3.453,2.7831,0.493
1970_651_Brazil,Brazil,Nike,2.394,1.9787,0.091
1974_652_Ghana,Ghana,Visa,2.932,2.1486,0.418
1950_653_Saudi_Arabia,Saudi Arabia,Nike,2.909,2.7329,0.369
2002_654_Morocco,Morocco,Emirates,2.454,1.8367,0.284
1970_655_Netherlands,Netherlands,Puma,2.593,2.3764,0.257
2014_656_France,France,Emirates,2.055,1.5695,0.104
1994_657_Croatia,Croatia,Qatar Airways,2.985,2.6316,0.343
1994_658_South_Korea,South Korea,Nike,2.149,1.6958,0.086
1950_659_Mexico,Mexico,Emirates,2.616,2.1311,0.635
2010_660_Australia,Australia,Nike,2.888,2.2213,0.625
2022_661_Nigeria,Nigeria,Visa,2.567,1.9772,0.23
1998_662_Saudi_Arabia,Saudi Arabia,Nike,3.11,2.8734,0.394
1942_663_Germany,Germany,Pepsi,2.856,2.5932,0.37
1982_664_Ghana,Ghana,Visa,2.621,1.8082,0.374
1930_665_Mexico,Mexico,Emirates,2.899,2.1232,0.704
2002_666_Saudi_Arabia,Saudi Arabia,Nike,3.558,2.5833,0.451
1998_667_Canada,Canada,Pepsi,2.549,1.808,0.529
1982_668_South_Korea,South Korea,Nike,2.866,2.2285,0.115
1934_669_Qatar,Qatar,Nike,2.569,2.3126,0.499
1990_670_Uruguay,Uruguay,Pepsi,2.707,2.4035,0.398
2002_671_Senegal,Senegal,Pepsi,2.495,1.9074,0.173
1938_672_Senegal,Senegal,Pepsi,2.648,1.9739,0.183
1962_673_Qatar,Qatar,Nike,2.794,2.0428,0.543
1998_674_Spain,Spain,Pepsi,2.331,2.2107,0.068
2014_675_Australia,Australia,Nike,2.964,2.6216,0.642
1950_676_Morocco,Morocco,Emirates,2.315,1.7204,0.268
1958_677_Senegal,Senegal,Pepsi,3.013,2.3298,0.209
2010_678_Qatar,Qatar,Nike,2.805,2.046,0.545
1994_679_South_Korea,South Korea,Nike,2.177,1.8622,0.087
1950_680_Portugal,Portugal,Coca-Cola,2.762,2.5466,0.239
1950_681_Argentina,Argentina,Nike,2.662,1.8735,0.284
1930_682_Italy,Italy,Qatar Airways,2.569,1.8275,0.249
1958_683_Canada,Canada,Pepsi,2.916,2.0254,0.605
1934_684_Italy,Italy,Qatar Airways,2.742,1.9069,0.266
1934_685_Portugal,Portugal,Coca-Cola,2.537,1.8944,0.219
1938_686_Uruguay,Uruguay,Pepsi,3.093,2.0416,0.455
2018_687_Argentina,Argentina,Nike,2.771,1.9676,0.295
1954_688_Mexico,Mexico,Emirates,3.36,2.3709,0.816
1998_689_Italy,Italy,Qatar Airways,2.577,1.8362,0.25
1930_690_South_Korea,South Korea,Nike,2.307,2.3138,0.093
1978_691_Italy,Italy,Qatar Airways,2.335,1.8749,0.226
1962_692_South_Korea,South Korea,Nike,1.927,1.7635,0.077
2018_693_Belgium,Belgium,Mastercard,2.557,1.9872,0.449
1954_694_Argentina,Argentina,Nike,2.608,2.0761,0.278
2022_695_Japan,Japan,Samsung,2.861,2.1496,0.238
2010_696_Ghana,Ghana,Visa,2.717,2.0386,0.388
1994_697_Australia,Australia,Nike,2.977,2.266,0.644
1990_698_Morocco,Morocco,Emirates,2.344,1.7704,0.272
1974_699_Brazil,Brazil,Nike,2.282,1.9228,0.087
2022_700_Uruguay,Uruguay,Pepsi,2.993,2.215,0.44
1942_701_South_Korea,South Korea,Nike,2.306,1.9456,0.092
1974_702_South_Korea,South Korea,Nike,2.286,1.7474,0.092
1994_703_Spain,Spain,Pepsi,1.975,1.4966,0.058
2002_704_USA,USA,Samsung,2.632,2.178,0.391
1974_705_Morocco,Morocco,Emirates,2.352,2.2953,0.273
1938_706_Croatia,Croatia,Qatar Airways,2.692,2.4492,0.31
1994_707_Italy,Italy,Qatar Airways,3.023,2.5865,0.293
1934_708_Portugal,Portugal,Coca-Cola,2.509,1.887,0.217
1994_709_South_Korea,South Korea,Nike,2.367,1.7902,0.095
1974_710_Senegal,Senegal,Pepsi,2.758,2.5717,0.191
1938_711_Japan,Japan,Samsung,2.525,1.9464,0.21
1930_712_England,England,Emirates,2.838,2.5437,0.128
2006_713_Australia,Australia,Nike,2.485,1.8354,0.538
2018_714_Nigeria,Nigeria,Visa,2.712,2.2157,0.243
1962_715_USA,USA,Samsung,2.695,1.9838,0.4
2002_716_Morocco,Morocco,Emirates,2.406,1.7937,0.279
2010_717_Senegal,Senegal,Pepsi,3.112,2.7295,0.216
1930_718_USA,USA,Samsung,2.636,1.9462,0.392
1958_719_Australia,Australia,Nike,2.799,2.5184,0.606
2010_720_Italy,Italy,Qatar Airways,2.837,1.9608,0.275
1958_1_Morocco,Morocco,Emirates,3.157,1.8146,0.366
2018_2_USA,USA,Samsung,2.583,2.4518,0.384
1942_3_Uruguay,Uruguay,Pepsi,2.799,2.0434,0.412
1978_4_Ghana,Ghana,Visa,2.517,2.467,0.359
2002_5_Australia,Australia,Nike,2.371,2.5958,0.513
1990_6_Croatia,Croatia,Qatar Airways,3.131,2.6956,0.36
1930_7_Belgium,Belgium,Mastercard,2.414,2.1432,0.424
1966_8_Argentina,Argentina,Nike,2.851,1.9436,0.304
1930_9_Canada,Canada,Pepsi,2.619,2.388,0.543
1942_10_Brazil,Brazil,Nike,2.517,1.8299,0.096
1938_11_Japan,Japan,Samsung,2.802,1.8708,0.233
1934_12_England,England,Emirates,2.908,2.5969,0.132
1986_13_Canada,Canada,Pepsi,2.932,2.5617,0.608
1982_14_Australia,Australia,Nike,2.807,2.0316,0.608
1970_15_Croatia,Croatia,Qatar Airways,2.673,1.9606,0.308
1942_16_England,England,Emirates,2.789,2.0574,0.126
1942_17_Saudi_Arabia,Saudi Arabia,Nike,2.576,2.721,0.326
1990_18_Ghana,Ghana,Visa,3.19,2.4668,0.455
1970_19_Ghana,Ghana,Visa,2.591,2.001,0.37
1978_20_Netherlands,Netherlands,Puma,2.676,1.8306,0.265
1998_21_Nigeria,Nigeria,Visa,2.699,2.585,0.242
1974_22_Belgium,Belgium,Mastercard,2.438,2.1344,0.428
2002_23_Canada,Canada,Pepsi,2.66,1.9228,0.552
2002_24_USA,USA,Samsung,2.871,2.0502,0.427
2022_25_Japan,Japan,Samsung,3.006,2.1866,0.25
2018_26_Netherlands,Netherlands,Puma,3.328,2.692,0.33
1958_27_Italy,Italy,Qatar Airways,2.977,2.5552,0.289
1950_28_Morocco,Morocco,Emirates,2.602,2.2618,0.302
1990_29_Brazil,Brazil,Nike,2.784,2.28,0.106
1950_30_Netherlands,Netherlands,Puma,2.856,2.5029,0.283
1946_31_Croatia,Croatia,Qatar Airways,2.635,2.4991,0.303
1946_32_England,England,Emirates,2.531,1.86,0.114
2010_33_Nigeria,Nigeria,Visa,2.646,2.1576,0.237
1970_34_USA,USA,Samsung,2.768,1.9926,0.411
2022_35_France,France,Emirates,2.815,2.373,0.142
1946_36_Qatar,Qatar,Nike,3.194,2.0502,0.62
1962_37_Morocco,Morocco,Emirates,2.547,1.7371,0.295
2002_38_Germany,Germany,Pepsi,2.575,2.5908,0.334
2010_39_Australia,Australia,Nike,2.643,2.1336,0.572
1966_40_Spain,Spain,Pepsi,2.382,2.0873,0.07
1970_41_Saudi_Arabia,Saudi Arabia,Nike,1.956,2.181,0.248
1942_42_Qatar,Qatar,Nike,2.587,2.3814,0.502
2006_43_Saudi_Arabia,Saudi Arabia,Nike,3.078,2.4734,0.39
2006_44_Croatia,Croatia,Qatar Airways,2.927,2.3072,0.337
2022_45_Netherlands,Netherlands,Puma,2.221,2.3114,0.22
2022_46_Spain,Spain,Pepsi,2.959,1.8866,0.087
1934_47_Uruguay,Uruguay,Pepsi,2.898,2.1848,0.426
1934_48_Portugal,Portugal,Coca-Cola,2.608,2.1386,0.225
1982_49_Uruguay,Uruguay,Pepsi,2.178,1.9066,0.32
2014_50_England,England,Emirates,2.747,2.4312,0.124
1938_51_Ghana,Ghana,Visa,2.553,2.3275,0.364
1946_52_England,England,Emirates,3.239,2.6658,0.146
1974_53_Qatar,Qatar,Nike,2.455,2.4521,0.477
1998_54_Brazil,Brazil,Nike,2.709,1.8764,0.103
1946_55_Morocco,Morocco,Emirates,2.629,2.3953,0.305
2022_56_England,England,Emirates,3.006,2.1464,0.136
1998_57_Spain,Spain,Pepsi,2.884,1.9304,0.084
1982_58_Brazil,Brazil,Nike,2.947,2.0506,0.113
1990_59_Japan,Japan,Samsung,3.254,2.1604,0.27
1946_60_Spain,Spain,Pepsi,2.414,2.1624,0.071
1930_61_Italy,Italy,Qatar Airways,3.221,2.2782,0.312
1986_62_Qatar,Qatar,Nike,3.173,2.1212,0.616
2002_63_Japan,Japan,Samsung,2.423,2.3822,0.201
1978_64_Japan,Japan,Samsung,1.773,1.8576,0.147
1954_65_Spain,Spain,Pepsi,2.922,2.1899,0.086
1950_66_Netherlands,Netherlands,Puma,2.587,1.7106,0.256
1954_67_England,England,Emirates,2.455,1.9343,0.111
1994_68_Portugal,Portugal,Coca-Cola,2.968,2.479,0.257
2006_69_Mexico,Mexico,Emirates,3.036,2.3142,0.737
1998_70_Spain,Spain,Pepsi,2.793,2.208,0.082
1970_71_Senegal,Senegal,Pepsi,2.302,1.9271,0.159
1998_72_England,England,Emirates,2.045,1.838,0.092
1930_73_Croatia,Croatia,Qatar Airways,2.681,2.4344,0.309
2014_74_Argentina,Argentina,Nike,2.612,1.8706,0.278
1970_75_Nigeria,Nigeria,Visa,2.812,2.7152,0.252
2022_76_France,France,Emirates,2.84,2.0097,0.143
1938_77_England,England,Emirates,2.425,2.0468,0.11
1942_78_Croatia,Croatia,Qatar Airways,2.384,2.1159,0.274
1938_79_Germany,Germany,Pepsi,2.783,2.5215,0.361
1958_80_Morocco,Morocco,Emirates,2.422,2.2362,0.281
1962_81_Belgium,Belgium,Mastercard,2.745,2.5237,0.482
1986_82_Australia,Australia,Nike,2.638,2.6636,0.571
2018_83_Saudi_Arabia,Saudi Arabia,Nike,2.871,2.5324,0.364
1966_84_Canada,Canada,Pepsi,2.819,2.4265,0.585
1966_85_Uruguay,Uruguay,Pepsi,2.848,2.5309,0.419
2010_86_Ghana,Ghana,Visa,2.367,2.4586,0.338
1946_87_France,France,Emirates,3.245,2.5746,0.163
2018_88_Morocco,Morocco,Emirates,2.566,1.6726,0.297
2018_89_Senegal,Senegal,Pepsi,2.491,2.2875,0.173
1962_90_Portugal,Portugal,Coca-Cola,2.434,1.7202,0.21
1970_91_Brazil,Brazil,Nike,2.762,1.7262,0.105
1998_92_Canada,Canada,Pepsi,2.949,2.5909,0.612
2022_93_Qatar,Qatar,Nike,2.636,1.7962,0.512
2022_94_France,France,Emirates,2.654,1.9224,0.134
1942_95_Italy,Italy,Qatar Airways,3.345,2.1301,0.324
1962_96_Nigeria,Nigeria,Visa,2.635,2.2434,0.236
1982_97_Ghana,Ghana,Visa,2.76,2.4078,0.394
1978_98_France,France,Emirates,2.677,2.0017,0.135
2014_99_Portugal,Portugal,Coca-Cola,2.572,1.98,0.222
1970_100_South_Korea,South Korea,Nike,2.651,2.2399,0.106
2022_101_Canada,Canada,Pepsi,2.502,1.9343,0.519
1982_102_England,England,Emirates,2.945,2.5688,0.133
1982_103_Belgium,Belgium,Mastercard,2.811,2.5766,0.494
2010_104_Senegal,Senegal,Pepsi,3.068,2.3216,0.212
1978_105_South_Korea,South Korea,Nike,2.917,2.3983,0.117
2022_106_Spain,Spain,Pepsi,2.553,2.0282,0.075
1974_107_Canada,Canada,Pepsi,2.325,1.851,0.482
1942_108_Portugal,Portugal,Coca-Cola,2.89,2.4828,0.25
1954_109_Germany,Germany,Pepsi,2.687,2.1318,0.349
1958_110_Netherlands,Netherlands,Puma,2.735,1.9698,0.271
1990_111_Italy,Italy,Qatar Airways,2.802,2.415,0.272
1954_112_Senegal,Senegal,Pepsi,2.826,2.2507,0.196
1978_113_Netherlands,Netherlands,Puma,3.237,2.0871,0.321
2022_114_Qatar,Qatar,Nike,2.824,2.001,0.548
1994_115_Portugal,Portugal,Coca-Cola,2.443,2.2236,0.211
1974_116_Belgium,Belgium,Mastercard,2.708,2.2096,0.476
1994_117_Nigeria,Nigeria,Visa,2.809,2.2702,0.252
2006_118_Mexico,Mexico,Emirates,2.651,1.929,0.643
1954_119_Spain,Spain,Pepsi,2.833,1.831,0.083
1934_120_Saudi_Arabia,Saudi Arabia,Nike,2.726,2.897,0.346
1934_121_Canada,Canada,Pepsi,2.978,2.1108,0.618
1962_122_France,France,Emirates,2.912,1.8719,0.147
2002_123_Nigeria,Nigeria,Visa,2.458,2.2729,0.22
1994_124_Argentina,Argentina,Nike,3.287,2.2061,0.35
2018_125_Uruguay,Uruguay,Pepsi,2.467,2.4365,0.363
1954_126_Australia,Australia,Nike,2.364,2.4785,0.512
2018_127_France,France,Emirates,2.75,1.9728,0.139
1974_128_Morocco,Morocco,Emirates,2.621,1.7358,0.304
2010_129_Netherlands,Netherlands,Puma,2.57,1.726,0.255
1958_130_Uruguay,Uruguay,Pepsi,2.803,1.9848,0.412
1998_131_Senegal,Senegal,Pepsi,3.108,2.1849,0.215
1986_132_Qatar,Qatar,Nike,2.892,2.5032,0.562
1930_133_Spain,Spain,Pepsi,2.834,1.6319,0.083
1986_134_Japan,Japan,Samsung,2.539,1.8267,0.211
2010_135_Belgium,Belgium,Mastercard,2.477,1.983,0.435
