source,target,edge_type,weight
team:Cameroon,match_449,team_match,0.364
sponsor:Coca-Cola,team:Cameroon,sponsor_team_panel,0.771
sponsor:Coca-Cola,match_449,sponsor_match_exposure,3.243
team:Czechoslovakia,match_450,team_match,0.479
sponsor:Visa,team:Czechoslovakia,sponsor_team_panel,0.763
sponsor:Visa,match_450,sponsor_match_exposure,3.468
team:Brazil,match_451,team_match,0.581
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_451,sponsor_match_exposure,4.065
team:Germany,match_452,team_match,0.643
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_452,sponsor_match_exposure,3.981
team:Republic of Ireland,match_453,team_match,0.36
sponsor:McDonald's,team:Republic of Ireland,sponsor_team_panel,0.441
sponsor:McDonald's,match_453,sponsor_match_exposure,3.135
team:Italy,match_454,team_match,0.36
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_454,sponsor_match_exposure,3.562
team:England,match_455,team_match,0.564
sponsor:McDonald's,team:England,sponsor_team_panel,0.432
sponsor:McDonald's,match_455,sponsor_match_exposure,3.429
team:Spain,match_456,team_match,0.641
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_456,sponsor_match_exposure,3.832
team:Italy,match_457,team_match,0.341
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_457,sponsor_match_exposure,3.484
team:Yugoslavia,match_458,team_match,0.334
sponsor:Qatar Airways,team:Yugoslavia,sponsor_team_panel,0.379
sponsor:Qatar Airways,match_458,sponsor_match_exposure,3.229
team:Cameroon,match_459,team_match,0.401
sponsor:Coca-Cola,team:Cameroon,sponsor_team_panel,0.771
sponsor:Coca-Cola,match_459,sponsor_match_exposure,3.261
team:Germany,match_460,team_match,0.652
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_460,sponsor_match_exposure,4.046
team:Italy,match_461,team_match,0.361
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_461,sponsor_match_exposure,3.487
team:Germany,match_462,team_match,0.638
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_462,sponsor_match_exposure,3.96
team:Italy,match_463,team_match,0.37
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_463,sponsor_match_exposure,3.583
team:Germany,match_464,team_match,0.671
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_464,sponsor_match_exposure,4.028
team:Germany,match_465,team_match,0.657
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_465,sponsor_match_exposure,4.102
team:Spain,match_466,team_match,0.638
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_466,sponsor_match_exposure,3.895
team:Colombia,match_467,team_match,0.345
sponsor:Vivo,team:Colombia,sponsor_team_panel,0.396
sponsor:Vivo,match_467,sponsor_match_exposure,3.372
team:Italy,match_468,team_match,0.352
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_468,sponsor_match_exposure,3.525
team:United States,match_469,team_match,0.463
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_469,sponsor_match_exposure,3.17
team:Belgium,match_470,team_match,0.68
sponsor:Visa,team:Belgium,sponsor_team_panel,0.713
sponsor:Visa,match_470,sponsor_match_exposure,3.748
team:Cameroon,match_471,team_match,0.389
sponsor:Coca-Cola,team:Cameroon,sponsor_team_panel,0.771
sponsor:Coca-Cola,match_471,sponsor_match_exposure,3.286
team:Norway,match_472,team_match,0.363
sponsor:McDonald's,team:Norway,sponsor_team_panel,0.394
sponsor:McDonald's,match_472,sponsor_match_exposure,3.08
team:Brazil,match_473,team_match,0.566
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_473,sponsor_match_exposure,4.02
team:Netherlands,match_474,team_match,0.515
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_474,sponsor_match_exposure,3.705
team:Argentina,match_475,team_match,0.634
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_475,sponsor_match_exposure,4.16
team:Germany,match_476,team_match,0.672
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_476,sponsor_match_exposure,4.008
team:Nigeria,match_477,team_match,0.325
sponsor:Coca-Cola,team:Nigeria,sponsor_team_panel,0.705
sponsor:Coca-Cola,match_477,sponsor_match_exposure,3.445
team:Romania,match_478,team_match,0.485
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_478,sponsor_match_exposure,3.395
team:United States,match_479,team_match,0.447
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_479,sponsor_match_exposure,3.157
team:Italy,match_480,team_match,0.332
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_480,sponsor_match_exposure,3.45
team:South Korea,match_481,team_match,0.399
sponsor:McDonald's,team:South Korea,sponsor_team_panel,0.51
sponsor:McDonald's,match_481,sponsor_match_exposure,3.14
team:Brazil,match_482,team_match,0.595
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_482,sponsor_match_exposure,4.118
team:Mexico,match_483,team_match,0.603
sponsor:Hyundai,team:Mexico,sponsor_team_panel,0.853
sponsor:Hyundai,match_483,sponsor_match_exposure,3.841
team:Sweden,match_484,team_match,0.635
sponsor:Budweiser,team:Sweden,sponsor_team_panel,0.687
sponsor:Budweiser,match_484,sponsor_match_exposure,3.765
team:Argentina,match_485,team_match,0.618
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_485,sponsor_match_exposure,4.026
team:Belgium,match_486,team_match,0.682
sponsor:Visa,team:Belgium,sponsor_team_panel,0.713
sponsor:Visa,match_486,sponsor_match_exposure,3.668
team:Saudi Arabia,match_487,team_match,0.46
sponsor:Visa,team:Saudi Arabia,sponsor_team_panel,0.698
sponsor:Visa,match_487,sponsor_match_exposure,3.535
team:Bulgaria,match_488,team_match,0.387
sponsor:Hisense,team:Bulgaria,sponsor_team_panel,0.787
sponsor:Hisense,match_488,sponsor_match_exposure,3.089
team:Switzerland,match_489,team_match,0.522
sponsor:Adidas,team:Switzerland,sponsor_team_panel,0.904
sponsor:Adidas,match_489,sponsor_match_exposure,3.755
team:United States,match_490,team_match,0.491
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_490,sponsor_match_exposure,3.308
team:Bolivia,match_491,team_match,0.265
sponsor:Qatar Airways,team:Bolivia,sponsor_team_panel,0.462
sponsor:Qatar Airways,match_491,sponsor_match_exposure,2.748
team:Germany,match_492,team_match,0.722
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_492,sponsor_match_exposure,4.157
team:Brazil,match_493,team_match,0.556
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_493,sponsor_match_exposure,3.99
team:Republic of Ireland,match_494,team_match,0.358
sponsor:McDonald's,team:Republic of Ireland,sponsor_team_panel,0.441
sponsor:McDonald's,match_494,sponsor_match_exposure,3.108
team:Italy,match_495,team_match,0.364
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_495,sponsor_match_exposure,3.517
team:Russia,match_496,team_match,0.64
sponsor:Hyundai,team:Russia,sponsor_team_panel,0.814
sponsor:Hyundai,match_496,sponsor_match_exposure,4.133
team:Belgium,match_497,team_match,0.704
sponsor:Visa,team:Belgium,sponsor_team_panel,0.713
sponsor:Visa,match_497,sponsor_match_exposure,3.802
team:Morocco,match_498,team_match,0.448
sponsor:Mengniu,team:Morocco,sponsor_team_panel,0.366
sponsor:Mengniu,match_498,sponsor_match_exposure,3.094
team:Argentina,match_499,team_match,0.613
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_499,sponsor_match_exposure,4.078
team:Greece,match_500,team_match,0.305
sponsor:Budweiser,team:Greece,sponsor_team_panel,0.736
sponsor:Budweiser,match_500,sponsor_match_exposure,3.246
team:Germany,match_501,team_match,0.77
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_501,sponsor_match_exposure,4.254
team:Spain,match_502,team_match,0.592
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_502,sponsor_match_exposure,3.751
team:Romania,match_503,team_match,0.466
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_503,sponsor_match_exposure,3.351
team:Saudi Arabia,match_504,team_match,0.487
sponsor:Visa,team:Saudi Arabia,sponsor_team_panel,0.698
sponsor:Visa,match_504,sponsor_match_exposure,3.557
team:Netherlands,match_505,team_match,0.52
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_505,sponsor_match_exposure,3.758
team:United States,match_506,team_match,0.394
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_506,sponsor_match_exposure,2.99
team:Mexico,match_507,team_match,0.589
sponsor:Hyundai,team:Mexico,sponsor_team_panel,0.853
sponsor:Hyundai,match_507,sponsor_match_exposure,3.782
team:Nigeria,match_508,team_match,0.312
sponsor:Coca-Cola,team:Nigeria,sponsor_team_panel,0.705
sponsor:Coca-Cola,match_508,sponsor_match_exposure,3.313
team:Italy,match_509,team_match,0.396
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_509,sponsor_match_exposure,3.52
team:Netherlands,match_510,team_match,0.552
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_510,sponsor_match_exposure,3.704
team:Bulgaria,match_511,team_match,0.351
sponsor:Hisense,team:Bulgaria,sponsor_team_panel,0.787
sponsor:Hisense,match_511,sponsor_match_exposure,2.925
team:Romania,match_512,team_match,0.436
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_512,sponsor_match_exposure,3.297
team:Bulgaria,match_513,team_match,0.379
sponsor:Hisense,team:Bulgaria,sponsor_team_panel,0.787
sponsor:Hisense,match_513,sponsor_match_exposure,3.02
team:Sweden,match_514,team_match,0.573
sponsor:Budweiser,team:Sweden,sponsor_team_panel,0.687
sponsor:Budweiser,match_514,sponsor_match_exposure,3.606
team:Sweden,match_515,team_match,0.62
sponsor:Budweiser,team:Sweden,sponsor_team_panel,0.687
sponsor:Budweiser,match_515,sponsor_match_exposure,3.771
team:Brazil,match_516,team_match,0.552
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_516,sponsor_match_exposure,3.996
team:Brazil,match_517,team_match,0.59
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_517,sponsor_match_exposure,4.111
team:Morocco,match_518,team_match,0.431
sponsor:Mengniu,team:Morocco,sponsor_team_panel,0.366
sponsor:Mengniu,match_518,sponsor_match_exposure,3.11
team:Cameroon,match_519,team_match,0.384
sponsor:Coca-Cola,team:Cameroon,sponsor_team_panel,0.771
sponsor:Coca-Cola,match_519,sponsor_match_exposure,3.273
team:Italy,match_520,team_match,0.433
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_520,sponsor_match_exposure,3.63
team:France,match_521,team_match,0.603
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_521,sponsor_match_exposure,3.733
team:Paraguay,match_522,team_match,0.389
sponsor:Hyundai,team:Paraguay,sponsor_team_panel,0.812
sponsor:Hyundai,match_522,sponsor_match_exposure,3.739
team:Saudi Arabia,match_523,team_match,0.427
sponsor:Visa,team:Saudi Arabia,sponsor_team_panel,0.698
sponsor:Visa,match_523,sponsor_match_exposure,3.44
team:South Korea,match_524,team_match,0.445
sponsor:McDonald's,team:South Korea,sponsor_team_panel,0.51
sponsor:McDonald's,match_524,sponsor_match_exposure,3.156
team:Netherlands,match_525,team_match,0.472
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_525,sponsor_match_exposure,3.599
team:Spain,match_526,team_match,0.641
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_526,sponsor_match_exposure,3.845
team:Argentina,match_527,team_match,0.614
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_527,sponsor_match_exposure,4.062
team:Jamaica,match_528,team_match,0.354
sponsor:Adidas,team:Jamaica,sponsor_team_panel,0.901
sponsor:Adidas,match_528,sponsor_match_exposure,3.54
team:Serbia,match_529,team_match,0.478
sponsor:Vivo,team:Serbia,sponsor_team_panel,0.481
sponsor:Vivo,match_529,sponsor_match_exposure,3.169
team:England,match_530,team_match,0.657
sponsor:McDonald's,team:England,sponsor_team_panel,0.432
sponsor:McDonald's,match_530,sponsor_match_exposure,3.679
team:Germany,match_531,team_match,0.689
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_531,sponsor_match_exposure,4.083
team:Romania,match_532,team_match,0.379
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_532,sponsor_match_exposure,3.185
team:Brazil,match_533,team_match,0.598
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_533,sponsor_match_exposure,4.08
team:Scotland,match_534,team_match,0.554
sponsor:Budweiser,team:Scotland,sponsor_team_panel,0.683
sponsor:Budweiser,match_534,sponsor_match_exposure,3.568
team:Chile,match_535,team_match,0.507
sponsor:Hisense,team:Chile,sponsor_team_panel,0.7
sponsor:Hisense,match_535,sponsor_match_exposure,3.558
team:Italy,match_536,team_match,0.428
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_536,sponsor_match_exposure,3.66
team:France,match_537,team_match,0.633
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_537,sponsor_match_exposure,3.77
team:South Africa,match_538,team_match,0.422
sponsor:Qatar Airways,team:South Africa,sponsor_team_panel,0.519
sponsor:Qatar Airways,match_538,sponsor_match_exposure,3.013
team:Nigeria,match_539,team_match,0.296
sponsor:Coca-Cola,team:Nigeria,sponsor_team_panel,0.705
sponsor:Coca-Cola,match_539,sponsor_match_exposure,3.353
team:Spain,match_540,team_match,0.588
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_540,sponsor_match_exposure,3.832
team:Belgium,match_541,team_match,0.717
sponsor:Visa,team:Belgium,sponsor_team_panel,0.713
sponsor:Visa,match_541,sponsor_match_exposure,3.784
team:Japan,match_542,team_match,0.386
sponsor:Adidas,team:Japan,sponsor_team_panel,0.859
sponsor:Adidas,match_542,sponsor_match_exposure,3.646
team:Netherlands,match_543,team_match,0.548
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_543,sponsor_match_exposure,3.755
team:Argentina,match_544,team_match,0.71
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_544,sponsor_match_exposure,4.251
team:Germany,match_545,team_match,0.735
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_545,sponsor_match_exposure,4.213
team:United States,match_546,team_match,0.419
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_546,sponsor_match_exposure,3.051
team:Colombia,match_547,team_match,0.29
sponsor:Vivo,team:Colombia,sponsor_team_panel,0.396
sponsor:Vivo,match_547,sponsor_match_exposure,3.31
team:Romania,match_548,team_match,0.402
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_548,sponsor_match_exposure,3.245
team:Brazil,match_549,team_match,0.597
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_549,sponsor_match_exposure,4.078
team:Chile,match_550,team_match,0.517
sponsor:Hisense,team:Chile,sponsor_team_panel,0.7
sponsor:Hisense,match_550,sponsor_match_exposure,3.637
team:Italy,match_551,team_match,0.457
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_551,sponsor_match_exposure,3.66
team:Scotland,match_552,team_match,0.587
sponsor:Budweiser,team:Scotland,sponsor_team_panel,0.683
sponsor:Budweiser,match_552,sponsor_match_exposure,3.635
team:France,match_553,team_match,0.617
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_553,sponsor_match_exposure,3.725
team:Nigeria,match_554,team_match,0.334
sponsor:Coca-Cola,team:Nigeria,sponsor_team_panel,0.705
sponsor:Coca-Cola,match_554,sponsor_match_exposure,3.41
team:South Africa,match_555,team_match,0.474
sponsor:Qatar Airways,team:South Africa,sponsor_team_panel,0.519
sponsor:Qatar Airways,match_555,sponsor_match_exposure,3.134
team:Spain,match_556,team_match,0.679
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_556,sponsor_match_exposure,3.922
team:Belgium,match_557,team_match,0.705
sponsor:Visa,team:Belgium,sponsor_team_panel,0.713
sponsor:Visa,match_557,sponsor_match_exposure,3.815
team:Germany,match_558,team_match,0.695
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_558,sponsor_match_exposure,4.145
team:Netherlands,match_559,team_match,0.525
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_559,sponsor_match_exposure,3.71
team:United States,match_560,team_match,0.455
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_560,sponsor_match_exposure,3.12
team:Argentina,match_561,team_match,0.6
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_561,sponsor_match_exposure,4.023
team:Colombia,match_562,team_match,0.358
sponsor:Vivo,team:Colombia,sponsor_team_panel,0.396
sponsor:Vivo,match_562,sponsor_match_exposure,3.4
team:Japan,match_563,team_match,0.41
sponsor:Adidas,team:Japan,sponsor_team_panel,0.859
sponsor:Adidas,match_563,sponsor_match_exposure,3.735
team:Romania,match_564,team_match,0.373
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_564,sponsor_match_exposure,3.198
team:Brazil,match_565,team_match,0.617
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_565,sponsor_match_exposure,4.101
team:Italy,match_566,team_match,0.378
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_566,sponsor_match_exposure,3.532
team:France,match_567,team_match,0.576
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_567,sponsor_match_exposure,3.678
team:Nigeria,match_568,team_match,0.354
sponsor:Coca-Cola,team:Nigeria,sponsor_team_panel,0.705
sponsor:Coca-Cola,match_568,sponsor_match_exposure,3.422
team:Germany,match_569,team_match,0.681
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_569,sponsor_match_exposure,4.089
team:Netherlands,match_570,team_match,0.515
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_570,sponsor_match_exposure,3.685
team:Argentina,match_571,team_match,0.644
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_571,sponsor_match_exposure,4.057
team:Romania,match_572,team_match,0.364
sponsor:Qatar Airways,team:Romania,sponsor_team_panel,0.414
sponsor:Qatar Airways,match_572,sponsor_match_exposure,3.178
team:Brazil,match_573,team_match,0.625
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_573,sponsor_match_exposure,4.118
team:France,match_574,team_match,0.592
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_574,sponsor_match_exposure,3.631
team:Germany,match_575,team_match,0.697
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_575,sponsor_match_exposure,4.102
team:Netherlands,match_576,team_match,0.566
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_576,sponsor_match_exposure,3.748
team:Brazil,match_577,team_match,0.58
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_577,sponsor_match_exposure,4.039
team:France,match_578,team_match,0.612
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_578,sponsor_match_exposure,3.716
team:Netherlands,match_579,team_match,0.535
sponsor:Hisense,team:Netherlands,sponsor_team_panel,0.781
sponsor:Hisense,match_579,sponsor_match_exposure,3.723
team:France,match_580,team_match,0.58
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_580,sponsor_match_exposure,3.578
team:France,match_581,team_match,0.618
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_581,sponsor_match_exposure,3.659
team:Germany,match_582,team_match,0.787
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_582,sponsor_match_exposure,4.254
team:Republic of Ireland,match_583,team_match,0.426
sponsor:McDonald's,team:Republic of Ireland,sponsor_team_panel,0.441
sponsor:McDonald's,match_583,sponsor_match_exposure,3.25
team:Uruguay,match_584,team_match,0.654
sponsor:Vivo,team:Uruguay,sponsor_team_panel,0.443
sponsor:Vivo,match_584,sponsor_match_exposure,3.598
team:Argentina,match_585,team_match,0.604
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_585,sponsor_match_exposure,4.067
team:England,match_586,team_match,0.604
sponsor:McDonald's,team:England,sponsor_team_panel,0.432
sponsor:McDonald's,match_586,sponsor_match_exposure,3.494
team:Paraguay,match_587,team_match,0.512
sponsor:Hyundai,team:Paraguay,sponsor_team_panel,0.812
sponsor:Hyundai,match_587,sponsor_match_exposure,3.972
team:Spain,match_588,team_match,0.656
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_588,sponsor_match_exposure,3.906
team:Brazil,match_589,team_match,0.624
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_589,sponsor_match_exposure,4.143
team:Croatia,match_590,team_match,0.691
sponsor:Hisense,team:Croatia,sponsor_team_panel,0.731
sponsor:Hisense,match_590,sponsor_match_exposure,3.793
team:Italy,match_591,team_match,0.427
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_591,sponsor_match_exposure,3.638
team:China,match_592,team_match,0.327
sponsor:Mengniu,team:China,sponsor_team_panel,0.405
sponsor:Mengniu,match_592,sponsor_match_exposure,2.813
team:Japan,match_593,team_match,0.431
sponsor:Adidas,team:Japan,sponsor_team_panel,0.859
sponsor:Adidas,match_593,sponsor_match_exposure,3.766
team:South Korea,match_594,team_match,0.435
sponsor:McDonald's,team:South Korea,sponsor_team_panel,0.51
sponsor:McDonald's,match_594,sponsor_match_exposure,3.192
team:Germany,match_595,team_match,0.676
sponsor:Coca-Cola,team:Germany,sponsor_team_panel,0.759
sponsor:Coca-Cola,match_595,sponsor_match_exposure,4.076
team:Russia,match_596,team_match,0.606
sponsor:Hyundai,team:Russia,sponsor_team_panel,0.814
sponsor:Hyundai,match_596,sponsor_match_exposure,4.099
team:United States,match_597,team_match,0.498
sponsor:Vivo,team:United States,sponsor_team_panel,0.432
sponsor:Vivo,match_597,sponsor_match_exposure,3.12
team:Cameroon,match_598,team_match,0.349
sponsor:Coca-Cola,team:Cameroon,sponsor_team_panel,0.771
sponsor:Coca-Cola,match_598,sponsor_match_exposure,3.201
team:Denmark,match_599,team_match,0.609
sponsor:Coca-Cola,team:Denmark,sponsor_team_panel,0.793
sponsor:Coca-Cola,match_599,sponsor_match_exposure,3.574
team:France,match_600,team_match,0.547
sponsor:Qatar Airways,team:France,sponsor_team_panel,0.51
sponsor:Qatar Airways,match_600,sponsor_match_exposure,3.48
team:Argentina,match_601,team_match,0.606
sponsor:Hyundai,team:Argentina,sponsor_team_panel,0.903
sponsor:Hyundai,match_601,sponsor_match_exposure,4.024
team:Spain,match_602,team_match,0.622
sponsor:Budweiser,team:Spain,sponsor_team_panel,0.714
sponsor:Budweiser,match_602,sponsor_match_exposure,3.842
team:Sweden,match_603,team_match,0.647
sponsor:Budweiser,team:Sweden,sponsor_team_panel,0.687
sponsor:Budweiser,match_603,sponsor_match_exposure,3.836
team:Brazil,match_604,team_match,0.641
sponsor:Adidas,team:Brazil,sponsor_team_panel,0.938
sponsor:Adidas,match_604,sponsor_match_exposure,4.195
team:Italy,match_605,team_match,0.467
sponsor:Visa,team:Italy,sponsor_team_panel,0.799
sponsor:Visa,match_605,sponsor_match_exposure,3.675
team:South Africa,match_606,team_match,0.437
sponsor:Qatar Airways,team:South Africa,sponsor_team_panel,0.519
sponsor:Qatar Airways,match_606,sponsor_match_exposure,3.125
team:Costa Rica,match_607,team_match,0.501
sponsor:Visa,team:Costa Rica,sponsor_team_panel,0.76
sponsor:Visa,match_607,sponsor_match_exposure,3.431
team:Japan,match_608,team_match,0.424
sponsor:Adidas,team:Japan,sponsor_team_panel,0.859
sponsor:Adidas,match_608,sponsor_match_exposure,3.766
team:Mexico,match_609,team_match,0.6
sponsor:Hyundai,team:Mexico,sponsor_team_panel,0.853
sponsor:Hyundai,match_609,sponsor_match_exposure,3.708
team:South Korea,match_610,team_match,0.431
sponsor:McDonald's,team:South Korea,sponsor_team_panel,0.51
sponsor:McDonald's,match_610,sponsor_match_exposure,3.172
team:Portugal,match_611,team_match,0.529
sponsor:Mengniu,team:Portugal,sponsor_team_panel,0.359
sponsor:Mengniu,match_611,sponsor_match_exposure,3.437
team:Tunisia,match_612,team_match,0.373
sponsor:Hyundai,team:Tunisia,sponsor_team_panel,0.839
sponsor:Hyundai,match_612,sponsor_match_exposure,3.504
team:Cameroon,match_613,team_match,0.386
sponsor:Coca-Cola,team:Cameroon,sponsor_team_panel,0.771
sponsor:Coca-Cola,match_613,sponsor_match_exposure,3.195
team:Denmark,match_614,team_match,0.595
sponsor:Coca-Cola,team:Denmark,sponsor_team_panel,0.793
sponsor:Coca-Cola,match_614,sponsor_match_exposure,3.502
team:Saudi Arabia,match_615,team_match,0.471
sponsor:Visa,team:Saudi Arabia,sponsor_team_panel,0.698
sponsor:Visa,match_615,sponsor_match_exposure,3.544
team:Senegal,match_616,team_match,0.415
sponsor:Budweiser,team:Senegal,sponsor_team_panel,0.771
sponsor:Budweiser,match_616,sponsor_match_exposure,3.465
team:Nigeria,match_617,team_match,0.301
sponsor:Coca-Cola,team:Nigeria,sponsor_team_panel,0.705
sponsor:Coca-Cola,match_617,sponsor_match_exposure,3.343
team:Slovenia,match_618,team_match,0.371
sponsor:Vivo,team:Slovenia,sponsor_team_panel,0.283
sponsor:Vivo,match_618,sponsor_match_exposure,3.168
team:South Africa,match_619,team_match,0.522
sponsor:Qatar Airways,team:South Africa,sponsor_team_panel,0.519
sponsor:Qatar Airways,match_619,sponsor_match_exposure,3.164
team:Sweden,match_620,team_match,0.619
sponsor:Budweiser,team:Sweden,sponsor_team_panel,0.687
sponsor:Budweiser,match_620,sponsor_match_exposure,3.709
team:Costa Rica,match_621,team_match,0.574
sponsor:Visa,team:Costa Rica,sponsor_team_panel,0.76
sponsor:Visa,match_621,sponsor_match_exposure,3.449
team:Ecuador,match_622,team_match,0.453
